Admit_TermID,CRMID,Last_Name,First_Name,Middle_Name,Admit_Descr,Admit_Type,Admit_Type_Descr,Acad_Career,Acad_Prog,Acad_Prog_Descr,Acad_Plan,Acad_Plan_Descr,Appl_Source,Gender,Age_By_Years,Address1,Address2,City,State,Postal,Current_Program,Current_Program_Descr,Current_Plan,Current_Plan_Descr
7140037,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,FEMALE,52,,,Baltimore,MD,21229-0191,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7140503,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,56,,,Baltimore,MD,21214-2343,PSU,Undergrad Professional Studies,IDSBS,Interdisciplinary Studies
7140944,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,MALE,32,,,Baltimore,MD,21217-1739,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7140974,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,38,,,Baltimore,MD,21225-1222,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7141069,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,MALE,64,,,Baltimore,MD,21216-1245,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7141086,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ,HARD COPY,FEMALE,60,,,Baltimore,MD,21229-4515,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7141136,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,29,,,Baltimore,MD,21202-4904,NULL,NULL,NULL,NULL
7141160,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ,HARD COPY,FEMALE,43,,,Baltimore,MD,21223-3629,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7141174,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,40,,,Baltimore,MD,21234-7441,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7141256,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,58,,,Baltimore,MD,21217-1135,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7141432,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,MALE,32,,,Baltimore,MD,21217-1739,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science
7141460,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,SOSCBS,BS in Social Science,HARD COPY,FEMALE,40,,,Randallstown,MD,21133-4218,NULL,NULL,NULL,NULL
7146538,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,44,,,Laurel,MD,20707,NULL,NULL,NULL,NULL
7148277,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MATHBS,BS in Mathematics,HARD COPY,MALE,28,,,Baltimore,MD,21239-3442,A&SU,Undergraduate Arts & Sciences,MATHBS,BS in Mathematics
7149560,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,42,,,Baltimore,MD,21205-1619,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7149820,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,FEMALE,27,,,Upper Marlboro,MD,20774-6061,NULL,NULL,NULL,NULL
7150141,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,28,,,Baltimore,MD,21206-6130,NULL,NULL,NULL,NULL
7150299,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,37,,,Baltimore,MD,21220-1726,NURU,Undergraduate Nursing,NURSRNBSN,BS in Nursing Registered
7151461,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,NURSBS,BS in Nursing,HARD COPY,MALE,31,,,Baltimore,MD,21216-3135,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts
7151503,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,FEMALE,28,,,Greensboro,NC,27407-4254,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science
7151561,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,33,,,Middle River,MD,21220,NULL,NULL,NULL,NULL
7151577,2054,,,,Spring 2005                   ,USB,Second Bachelor,UGRD,EDU2,2nd Bachelors Education,ECEDBS2,2nd BS in Early Childhood Educ,HARD COPY,FEMALE,34,,,Baltimore,MD,21206-6418,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7151614,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,30,,,Baltimore,MD,21216-3644,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7151620,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,43,,,Essex,MD,21221-4001,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7151672,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,MALE,28,,,Washington,DC,20003-1711,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7151899,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ,HARD COPY,FEMALE,61,,,Baltimore,MD,21229-3109,PSU,Undergrad Professional Studies,IDSBS,Interdisciplinary Studies
7151986,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,SOWKBS,Social Work,HARD COPY,FEMALE,54,,,Windsor Mill,MD,21244-8044,PSU,Undergrad Professional Studies,SOCIBS,BS in Sociology
7152000,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,31,,,Baltimore,MD,21229-1241,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7152262,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,32,,, , , ,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education
7152317,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,FEMALE,27,,,Owings Mills,MD,21117-4413,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology
7152570,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,63,,,Baltimore,MD,21214-2008,NURU,Undergraduate Nursing,NURSRNBSN,BS in Nursing Registered
7158033,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,MALE,27,,,Pikesville,MD,21208-2619,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7158403,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,GNSCBS,General Science,HARD COPY,FEMALE,41,,,Pikesville,MD,21208-2270,SPMT,Sports Management,SPMTBS,BS in Sports Management
7158886,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,43,,,Baltimore,MD,21215-1315,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7159533,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,40,,,Baltimore,MD,21229,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7159887,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ,HARD COPY,FEMALE,28,,,Baltimore,MD,21207-4663,EDU,Undergraduate Education,ECEDBS,BS in Early Childhood Educ
7160294,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,FEMALE,34,,,Landover Hills,MD,20784-2344,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7160474,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,27,,,Baltimore,MD,21218-1604,NULL,NULL,NULL,NULL
7161501,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,26,,,Baltimore,MD,21227-3543,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7161542,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,31,,,Baltimore,MD,21215-6108,NULL,NULL,NULL,NULL
7161591,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,42,,,Parkville,MD,21234-6058,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7162254,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,35,,,Baltimore,MD,21215-4417,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7162345,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,55,,,Reisterstown,MD,21136-2693,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7162352,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,40,,,Baltimore,MD,21215-5838,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7162500,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,MALE,28,,,Washington,DC,20003-1711,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7162564,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts,HARD COPY,MALE,32,,,Columbia,MD,21045-5004,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts
7162636,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,34,,,Greenbelt,MD,20770-6141,NULL,NULL,NULL,NULL
7162759,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,MALE,30,,,Woodlawn,MD,21207-4484,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7162774,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,MALE,31,,,Gigil, Kenya, , ,NULL,NULL,NULL
7162848,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,NURSBS,BS in Nursing,HARD COPY,FEMALE,28,,,Baltimore,MD,21223-1548,NULL,NULL,NULL,NULL
7162897,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,31,,,Baltimore,MD,21215-6526,PSU,Undergrad Professional Studies,IDSBS,Interdisciplinary Studies
7162954,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,FEMALE,38,,,Baltimore,MD,21229-4301,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7163162,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,30,,,Randallstown,MD,21133-4810,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7163294,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,28,,,Baltimore,MD,21206-3640,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7167058,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,MALE,28,,,Gwynn Oak,MD,21207-6042,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7168675,2054,,,,Spring 2005                   ,USB,Second Bachelor,UGRD,NURU2,2nd Undergraduate Nursing,NURSBS2,2nd BS in Nursing,HARD COPY,FEMALE,36,,,Baltimore,MD,21229-2107,NULL,NULL,NULL,NULL
7168784,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,NURSBA,BA in Nursing,HARD COPY,FEMALE,26,,,Hackettstown,NJ,07840-5010,NULL,NULL,NULL,NULL
7169262,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,56,,,Baltimore,MD,21223-1647,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7169797,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,44,,,Baltimore,MD,21229-1819,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7171047,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,28,,,Baltimore,MD,21239-2414,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7171653,2054,,,,Spring 2005                   ,USB,Second Bachelor,UGRD,NURU2,2nd Undergraduate Nursing,NURSBS2,2nd BS in Nursing,HARD COPY,FEMALE,34,,,Baltimore,MD,21217-2417,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7172422,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,FEMALE,35,,,Baltimore,MD,21216-1227,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7173540,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,31,,,Baltimore,MD,21230-2128,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7173602,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,53,,,Baltimore,MD,21239-2221,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7173822,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,MALE,34,,,Baltimore,MD,21216-2319,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology
7173964,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,APPLBS,BS in Applied Psychology,HARD COPY,FEMALE,32,,,Baltimore,MD,21213-1818,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7173995,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,64,,,Baltimore,MD,21209-4662,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7174019,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,MALE,29,,,Accokeek,MD,20607-3723,NULL,NULL,NULL,NULL
7174140,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,EDU,Undergraduate Education,ELEDBS,BS in Elementary Education,HARD COPY,FEMALE,27,,,Baltimore,MD,21217-1827,PSU,Undergrad Professional Studies,IDSBS,Interdisciplinary Studies
7176615,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,MALE,27,,,Delmar,MD,21875-1717,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7178149,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,SOWKBS,Social Work,HARD COPY,MALE,33,,,Baltimore,MD,21217,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7179832,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,SOWKBS,Social Work,HARD COPY,FEMALE,35,,,Columbia,MD,21045-2186,PSU,Undergrad Professional Studies,SOSCBS,BS in Social Science
7181490,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,43,,,Severn,MD,21144,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7181522,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,48,,,Baltimore,MD,21207-6032,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7181593,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,MALE,39,,,Baltimore,MD,21206-2303,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7182860,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,35,,,Baltimore,MD,21218-2028,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7183084,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,29,,,Essex,MD,21221-5877,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7183159,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,27,,,Baltimore,MD,21234-7034,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7183197,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,33,,,Baltimore,MD,21205-2839,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7183986,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,44,,,Joppa,MD,21085-4552,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7184073,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,FEMALE,51,,,Columbia,MD,21045-3857,MNSU,Undergraduate Business,MNSCBS,BS in Management Science
7184279,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,BLANK APPLICATION SOURCE,FEMALE,50,,,Baltimore,MD,21201-1952,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7184516,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,30,,,Baltimore,MD,21239-2602,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7184545,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,40,,,Baltimore,MD,21216-4501,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7184591,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,31,,,Reisterstown,MD,21136-3721,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS
7184859,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science,HARD COPY,MALE,49,,,Baltimore,MD,21229-1004,A&SU,Undergraduate Arts & Sciences,COSCBS,BS in Computer Science
7184951,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,46,,,Bowie,MD,20715-3367,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing
7184964,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,34,,,Randallstown,MD,21133-2360,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7185028,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,MALE,58,,,Baltimore,MD,21215-7435,PSU,Undergrad Professional Studies,CRJUBS,BS in Criminal Justice
7185063,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts,HARD COPY,FEMALE,37,,,Baltimore,MD,21209-1364,A&SU,Undergraduate Arts & Sciences,UAPRBS,BS in Urban Arts
7185250,2054,,,,Spring 2005                   ,TRN,Transfer,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,39,,,Reisterstown,MD,21136-3321,PSU,Undergrad Professional Studies,APPLBS,BS in Applied Psychology
7187276,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,66,,,Baltimore,MD,21218-4830,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7190846,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English,HARD COPY,FEMALE,39,,,Baltimore,MD,21216-1628,A&SU,Undergraduate Arts & Sciences,ENGLBA,BA in English
7190982,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,ENGLBS,BS in English,HARD COPY,MALE,46,,,Baltimore,MD,21215-2821,A&SU,Undergraduate Arts & Sciences,ENGLBA,BA in English
7191498,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,30,,,Randallstown,MD,21133-4816,PSU,Undergrad Professional Studies,SOSCBS,BS in Social Science
7191947,2054,,,,Spring 2005                   ,NOD,Non-Degree Undergraduate,UGRD,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate,HARD COPY,FEMALE,56,,,Gwynn Oak,MD,21207-3851,NODEU,Undergrad Non-Degree,NODEGU,Non-Degree Undergraduate
7192197,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,CRJUBS,BS in Criminal Justice,HARD COPY,FEMALE,47,,,Ft Washington,MD,20744-7165,NULL,NULL,NULL,NULL
7192270,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,EDU,Undergraduate Education,SPEDBS,BS in Special Education,HARD COPY,FEMALE,52,,,Baltimore,MD,21229-3621,PSU,Undergrad Professional Studies,SOSCBS,BS in Social Science
7192406,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,UNKNASU,Ugrad Deg Seek Unknown AS,HARD COPY,FEMALE,39,,,Baltimore,MD,21214-2754,NURU,Undergraduate Nursing,NURSBSN,BS in Nursing Generic
7192466,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,NURU,Undergraduate Nursing,PRE-NUR,Pre-Nursing,HARD COPY,FEMALE,29,,,Baltimore,MD,21218-4403,NULL,NULL,NULL,NULL
7192576,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,27,,,Washington,DC,20011-3855,NULL,NULL,NULL,NULL
7192687,2054,,,,Spring 2005                   ,REA,Readmit,UGRD,A&SU,Undergraduate Arts & Sciences,MNSCBS,BS in Management Science,HARD COPY,FEMALE,46,,,Baltimore,MD,21206-3820,MNSU,Undergraduate Business,MNSCBS,BS in Management Science
7193097,2054,,,,Spring 2005                   ,FTS,First-time Undergraduate,UGRD,A&SU,Undergraduate Arts & Sciences,BIOLBS,BS in Biology,HARD COPY,MALE,31,,,Corona,CA,92881-4854,NULL,NULL,NULL,NULL
