Date,GrossRevenue,NetRevenue,GrossProfit
2019-04-10,1000,860,516
2020-02-25,750,666,400
2020-02-25,1000,848,509
2019-04-24,1000,832,499
2020-05-10,750,630,378
2020-02-19,1000,872,523
2019-04-03,750,666,400
2020-04-19,1160,976,586
2020-06-14,1000,808,485
2020-04-05,750,645,387
2019-06-05,500,444,266
2019-07-04,1000,848,509
2019-03-01,500,430,258
2019-07-23,1000,840,504
2019-06-30,750,675,405
2020-06-12,750,675,405
2019-11-09,1000,820,492
2020-03-22,1280,1128,677
2019-07-14,1250,1110,666
2020-02-03,500,424,254
2019-11-16,750,675,405
2019-04-30,180,144,86
2019-08-23,750,624,374
2020-05-24,750,660,396
2019-10-18,1250,1100,660
2020-03-12,750,645,387
2020-11-13,1000,832,499
2019-03-02,1000,880,528
2020-05-29,1000,888,533
2020-05-09,750,666,400
2020-05-21,1000,848,509
2020-03-02,1000,840,504
2020-04-11,1250,1100,660
2020-05-22,250,225,135
2019-01-24,750,675,405
2020-06-03,1000,888,533
2020-03-20,750,654,392
2019-03-26,1000,848,509
2020-01-18,750,615,369
2019-08-19,180,156,94
2020-07-01,1000,872,523
2019-01-23,1000,840,504
2020-07-22,191,157,94
2020-03-07,1000,848,509
2020-05-16,1250,1025,615
2019-10-10,250,210,126
2020-12-23,1000,820,492
2020-07-13,750,615,369
2020-02-18,750,660,396
2020-04-17,1000,848,509
2020-03-13,750,654,392
2020-07-23,750,624,374
2019-04-16,1000,880,528
2020-03-10,750,666,400
2020-03-14,1000,872,523
2020-12-24,382,328,197
2020-10-13,750,660,396
2019-02-24,750,654,392
2020-05-02,1000,840,504
2020-02-12,1250,1010,606
2019-08-19,1000,860,516
2019-04-03,750,666,400
2020-03-22,1000,848,509
2019-03-29,1000,832,499
2020-03-12,750,630,378
2019-10-17,1000,872,523
2019-07-12,750,666,400
2019-03-03,1160,976,586
2020-06-09,1000,808,485
2020-04-05,750,645,387
2019-05-27,500,444,266
2020-09-02,1000,848,509
2020-12-19,500,430,258
2019-07-26,1000,840,504
2020-10-07,750,675,405
2020-04-19,750,675,405
2019-07-29,1000,820,492
2019-04-14,1280,1128,677
2020-12-05,1250,1110,666
2020-02-25,500,424,254
2019-02-23,750,675,405
2020-10-10,180,144,86
2020-08-27,750,624,374
2020-01-21,750,660,396
2019-06-14,1250,1100,660
2020-01-26,750,645,387
2019-03-23,1000,832,499
2019-04-27,1000,880,528
2020-05-07,1000,888,533
2020-02-10,750,666,400
2020-04-29,1000,848,509
2019-09-25,1000,840,504
2019-08-02,1250,1100,660
2020-04-30,250,225,135
2020-06-28,750,675,405
2020-07-28,1000,888,533
2020-06-15,750,654,392
2020-08-09,1000,848,509
2020-10-23,750,615,369
2019-04-21,180,156,94
2019-11-20,1000,872,523
2019-09-23,1000,840,504
2020-06-30,191,157,94
2020-04-07,1000,848,509
2020-03-28,1250,1025,615
2020-09-10,250,210,126
2019-03-02,1000,820,492
2019-12-24,750,615,369
2020-05-31,750,660,396
2020-05-14,1000,848,509
2020-02-26,750,654,392
2020-01-10,750,624,374
2019-10-25,1000,880,528
2020-05-01,750,666,400
2020-03-06,1000,872,523
2020-11-20,382,328,197
2019-02-18,750,660,396
2019-09-06,750,654,392
2019-01-06,1000,840,504
2020-03-14,1250,1010,606
2020-10-21,1000,860,516
2019-10-26,750,666,400
2020-01-27,1000,848,509
2019-07-08,1000,832,499
2020-01-14,750,630,378
2020-11-15,1000,872,523
2019-07-20,750,666,400
2019-03-14,1160,976,586
2019-05-17,1000,808,485
2020-06-17,750,645,387
2019-05-20,500,444,266
2019-09-25,1000,848,509
2020-10-02,500,430,258
2020-01-11,1000,840,504
2019-01-25,750,675,405
2020-03-21,750,675,405
2020-06-04,1000,820,492
2019-12-28,1280,1128,677
2020-03-04,1250,1110,666
2020-06-08,500,424,254
2019-07-21,750,675,405
2019-04-12,180,144,86
2020-10-24,750,624,374
2020-05-28,750,660,396
2019-01-14,1250,1100,660
2020-05-22,750,645,387
2019-10-23,1000,832,499
2020-12-11,1000,880,528
2020-06-27,1000,888,533
2020-04-22,750,666,400
2020-03-20,1000,848,509
2019-06-17,1000,840,504
2019-10-28,1250,1100,660
2020-05-25,250,225,135
2020-12-09,750,675,405
2020-02-11,1000,888,533
2020-05-07,750,654,392
2020-06-18,1000,848,509
2019-12-18,750,615,369
2020-04-25,180,156,94
2020-06-12,1000,872,523
2020-11-13,1000,840,504
2019-01-20,191,157,94
2020-03-08,1000,848,509
2020-01-22,1250,1025,615
2019-01-28,250,210,126
2019-06-23,1000,820,492
2019-08-31,750,615,369
2020-02-12,750,660,396
2020-09-16,1000,848,509
2020-05-07,750,654,392
2020-10-16,750,624,374
2020-12-13,1000,880,528
2020-02-13,750,666,400
2020-03-18,1000,872,523
2019-01-25,382,328,197
2020-03-14,750,660,396
2020-11-04,750,654,392
2020-09-03,1000,840,504
2020-05-02,1250,1010,606
2020-11-13,1000,860,516
2019-02-16,750,666,400
2020-04-06,1000,848,509
2019-11-20,1000,832,499
2020-01-21,750,630,378
2019-06-12,1000,872,523
2020-06-25,750,666,400
2020-08-25,1160,976,586
2020-11-17,1000,808,485
2020-02-17,750,645,387
2020-10-12,500,444,266
2020-06-12,1000,848,509
2019-01-16,500,430,258
2019-07-07,1000,840,504
2020-01-01,750,675,405
2020-06-02,750,675,405
2020-03-08,1000,820,492
2019-04-24,1280,1128,677
2020-09-27,1250,1110,666
2020-03-24,500,424,254
2020-06-23,750,675,405
2020-04-08,180,144,86
2019-08-03,750,624,374
2020-01-29,750,660,396
2020-10-02,1250,1100,660
2020-05-06,750,645,387
2019-10-08,1000,832,499
2019-07-07,1000,880,528
2020-01-23,1000,888,533
2020-03-12,750,666,400
2020-01-27,1000,848,509
2020-06-20,1000,840,504
2019-05-12,1250,1100,660
2020-04-19,250,225,135
2019-10-03,750,675,405
2020-08-28,1000,888,533
2020-01-01,750,654,392
2020-01-28,1000,848,509
2019-06-26,750,615,369
2019-03-24,180,156,94
2019-02-24,1000,872,523
2019-11-18,1000,840,504
2020-12-07,191,157,94
2020-02-07,1000,848,509
2020-01-24,1250,1025,615
2020-09-03,250,210,126
2020-02-25,1000,820,492
2019-07-14,750,615,369
2020-06-13,750,660,396
2020-09-07,1000,848,509
2020-03-30,750,654,392
2020-10-19,750,624,374
2020-02-08,1000,880,528
2020-06-12,750,666,400
2020-07-05,1000,872,523
2019-07-19,382,328,197
2019-05-30,750,660,396
2019-08-26,750,654,392
2019-08-09,1000,840,504
2020-03-21,1250,1010,606
2020-12-24,1000,860,516
2019-08-30,750,666,400
2020-01-03,1000,848,509
2020-07-08,1000,832,499
2020-01-10,750,630,378
2019-02-02,1000,872,523
2019-05-19,750,666,400
2020-09-08,1160,976,586
2019-04-15,1000,808,485
2020-05-25,750,645,387
2019-10-14,500,444,266
2019-03-21,1000,848,509
2020-04-03,500,430,258
2019-02-17,1000,840,504
2019-09-14,750,675,405
2020-01-27,750,675,405
2019-09-21,1000,820,492
2020-07-11,1280,1128,677
2020-06-10,1250,1110,666
2020-05-06,500,424,254
2019-06-26,750,675,405
2020-08-21,180,144,86
2019-12-18,750,624,374
2020-04-11,750,660,396
2019-08-13,1250,1100,660
2020-02-20,750,645,387
2019-04-30,1000,832,499
2020-02-18,1000,880,528
2020-06-23,1000,888,533
2020-03-13,750,666,400
2020-06-22,1000,848,509
2020-07-03,1000,840,504
2019-12-02,1250,1100,660
2020-01-20,250,225,135
2020-06-21,750,675,405
2019-01-18,1000,888,533
2020-07-07,750,654,392
2020-04-23,1000,848,509
2019-10-25,750,615,369
2019-01-10,180,156,94
2019-06-19,1000,872,523
2020-11-19,1000,840,504
2019-02-21,191,157,94
2020-01-23,1000,848,509
2020-02-23,1250,1025,615
2019-06-15,250,210,126
2020-10-07,1000,820,492
2019-06-14,750,615,369
2020-02-28,750,660,396
2019-03-23,1000,848,509
2020-05-02,750,654,392
2019-04-06,750,624,374
2020-01-02,1000,880,528
2020-04-28,750,666,400
2020-09-05,1000,872,523
2019-05-16,382,328,197
2019-04-04,750,660,396
2019-08-17,750,654,392
2019-02-25,1000,840,504
2020-01-25,1250,1010,606
2019-03-15,1000,860,516
2020-04-30,750,666,400
2020-01-26,1000,848,509
2019-06-18,1000,832,499
2020-04-22,750,630,378
2020-01-11,1000,872,523
2020-02-21,750,666,400
2020-12-29,1160,976,586
2020-06-29,1000,808,485
2020-05-04,750,645,387
2020-09-29,500,444,266
2020-09-03,1000,848,509
2020-02-06,500,430,258
2019-05-16,1000,840,504
2020-03-05,750,675,405
2020-05-30,750,675,405
2019-07-30,1000,820,492
2019-05-22,1280,1128,677
2020-07-17,1250,1110,666
2020-01-26,500,424,254
2019-09-30,750,675,405
2020-11-20,180,144,86
2020-02-16,750,624,374
2020-01-26,750,660,396
2019-08-23,1250,1100,660
2020-03-15,750,645,387
2020-03-11,1000,832,499
2019-02-07,1000,880,528
2020-05-16,1000,888,533
2020-05-06,750,666,400
2020-02-28,1000,848,509
2019-01-21,1000,840,504
2020-07-05,1250,1100,660
2020-04-28,250,225,135
2019-04-17,750,675,405
2019-03-14,1000,888,533
2019-11-09,750,654,392
2020-04-08,1000,848,509
2019-05-02,750,615,369
2019-08-04,180,156,94
2020-10-12,1000,872,523
2019-08-30,1000,840,504
2020-05-27,191,157,94
2020-04-22,1000,848,509
2020-01-16,1250,1025,615
2020-02-24,250,210,126
2019-11-23,1000,820,492
2019-05-26,750,615,369
2020-01-19,750,660,396
2019-01-18,1000,848,509
2020-05-07,750,654,392
2020-05-30,750,624,374
2019-06-08,1000,880,528
2020-05-16,750,666,400
2020-07-31,1000,872,523
2019-08-16,382,328,197
2020-07-19,750,660,396
2019-03-20,750,654,392
2019-12-03,1000,840,504
2020-02-18,1250,1010,606
2019-04-29,1000,860,516
2020-04-13,750,666,400
2020-02-07,1000,848,509
2020-09-06,1000,832,499
2020-06-13,750,630,378
2019-08-22,1000,872,523
2019-10-10,750,666,400
2019-11-20,1160,976,586
2019-07-23,1000,808,485
2020-03-30,750,645,387
2020-08-08,500,444,266
2019-03-25,1000,848,509
2019-10-23,500,430,258
2019-11-11,1000,840,504
2020-01-06,750,675,405
2020-01-09,750,675,405
2019-06-02,1000,820,492
2020-03-26,1280,1128,677
2020-10-23,1250,1110,666
2020-01-11,500,424,254
2020-04-09,750,675,405
2019-02-22,180,144,86
2019-05-11,750,624,374
2020-04-11,750,660,396
2020-05-19,1250,1100,660
2020-02-27,750,645,387
2019-04-08,1000,832,499
2019-05-19,1000,880,528
2020-04-13,1000,888,533
2020-01-06,750,666,400
2020-04-25,1000,848,509
2020-07-13,1000,840,504
2020-05-31,1250,1100,660
2020-06-04,250,225,135
2020-05-20,750,675,405
2019-12-07,1000,888,533
2020-12-30,750,654,392
2020-05-14,1000,848,509
2020-06-20,750,615,369
2019-06-17,180,156,94
2020-12-06,1000,872,523
2019-10-03,1000,840,504
2020-03-16,191,157,94
2020-01-25,1000,848,509
2020-03-09,1250,1025,615
2019-05-11,250,210,126
2020-08-30,1000,820,492
2020-09-19,750,615,369
2020-03-11,750,660,396
2019-04-24,1000,848,509
2020-01-21,750,654,392
2019-07-23,750,624,374
2020-08-30,1000,880,528
2020-02-03,750,666,400
2020-07-07,1000,872,523
2019-09-24,382,328,197
2020-01-15,750,660,396
2019-07-24,750,654,392
2019-07-01,1000,840,504
2020-01-05,1250,1010,606
2019-01-16,1000,860,516
2019-10-17,750,666,400
2020-03-26,1000,848,509
2020-01-27,1000,832,499
2020-04-05,750,630,378
2019-04-17,1000,872,523
2019-03-26,750,666,400
2020-06-21,1160,976,586
2019-05-17,1000,808,485
2020-02-13,750,645,387
2020-12-16,500,444,266
2019-08-22,1000,848,509
2020-06-11,500,430,258
2019-02-02,1000,840,504
2020-04-01,750,675,405
2020-04-25,750,675,405
2020-04-28,1000,820,492
2020-06-27,1280,1128,677
2020-06-30,1250,1110,666
2020-06-19,500,424,254
2020-05-09,750,675,405
2019-09-18,180,144,86
2020-04-19,750,624,374
2020-06-28,750,660,396
2020-04-04,1250,1100,660
2020-06-22,750,645,387
2020-02-10,1000,832,499
2020-11-10,1000,880,528
2020-03-11,1000,888,533
2020-01-21,750,666,400
2020-02-02,1000,848,509
2020-12-02,1000,840,504
2020-09-28,1250,1100,660
2020-02-27,250,225,135
2019-07-08,750,675,405
2020-09-16,1000,888,533
2020-12-05,750,654,392
2019-02-12,1000,848,509
2019-03-30,750,615,369
2020-12-29,180,156,94
2019-05-10,1000,872,523
2020-02-22,1000,840,504
2020-04-27,191,157,94
2020-06-29,1000,848,509
2020-01-23,1250,1025,615
2019-02-07,250,210,126
2020-11-24,1000,820,492
2020-12-30,750,615,369
2020-04-12,750,660,396
2020-10-18,1000,848,509
2020-05-25,750,654,392
2019-07-14,750,624,374
2019-08-06,1000,880,528
2020-01-03,750,666,400
2019-05-17,1000,872,523
2019-06-27,382,328,197
2019-11-08,750,660,396
2020-02-08,750,654,392
2019-05-27,1000,840,504
2020-02-11,1250,1010,606
2019-04-27,1000,860,516
2020-06-16,750,666,400
2020-01-04,1000,848,509
2020-07-25,1000,832,499
2020-06-26,750,630,378
2020-07-16,1000,872,523
2020-03-04,750,666,400
2019-07-27,1160,976,586
2020-12-03,1000,808,485
2020-06-13,750,645,387
2019-08-04,500,444,266
2019-02-19,1000,848,509
2019-02-18,500,430,258
2020-10-16,1000,840,504
2020-07-06,750,675,405
2020-02-14,750,675,405
2019-03-09,1000,820,492
2020-04-05,1280,1128,677
2019-10-22,1250,1110,666
2020-02-14,500,424,254
2019-07-12,750,675,405
2020-06-28,180,144,86
2019-02-06,750,624,374
2020-05-22,750,660,396
2019-06-19,1250,1100,660
2020-03-09,750,645,387
2020-12-14,1000,832,499
2019-05-04,1000,880,528
2020-06-15,1000,888,533
2020-04-15,750,666,400
2020-06-17,1000,848,509
2020-03-26,1000,840,504
2019-03-21,1250,1100,660
2020-02-22,250,225,135
2019-01-05,750,675,405
2019-12-02,1000,888,533
2020-03-23,750,654,392
2020-12-25,1000,848,509
2020-08-08,750,615,369
2019-01-01,180,156,94
2020-08-07,1000,872,523
2020-04-22,1000,840,504
2020-10-02,191,157,94
2020-06-24,1000,848,509
2020-01-29,1250,1025,615
2019-04-02,250,210,126
2019-11-25,1000,820,492
2020-07-18,750,615,369
2020-02-17,750,660,396
2020-06-10,1000,848,509
2020-03-14,750,654,392
2020-01-25,750,624,374
2020-08-21,1000,880,528
2020-04-27,750,666,400
2019-06-24,1000,872,523
2019-08-16,382,328,197
2020-04-11,750,660,396
2020-02-18,750,654,392
2019-01-18,1000,840,504
2020-01-23,1250,1010,606
2020-04-13,1000,860,516
2020-11-30,750,666,400
2020-03-15,1000,848,509
2020-09-05,1000,832,499
2020-06-29,750,630,378
2019-01-24,1000,872,523
2019-01-22,750,666,400
2019-12-11,1160,976,586
2020-04-02,1000,808,485
2020-01-27,750,645,387
2019-12-29,500,444,266
2019-09-22,1000,848,509
2019-03-30,500,430,258
2020-04-18,1000,840,504
2019-08-19,750,675,405
2020-01-17,750,675,405
2019-05-31,1000,820,492
2020-08-20,1280,1128,677
2019-08-29,1250,1110,666
2020-06-18,500,424,254
2020-07-05,750,675,405
2019-01-29,180,144,86
2020-03-30,750,624,374
2020-04-20,750,660,396
2019-12-03,1250,1100,660
2020-06-18,750,645,387
2020-07-11,1000,832,499
2020-02-15,1000,880,528
2020-04-28,1000,888,533
2020-01-23,750,666,400
2020-04-01,1000,848,509
2019-05-13,1000,840,504
2020-05-11,1250,1100,660
2019-04-07,250,225,135
2019-03-04,750,675,405
2019-02-08,1000,888,533
2020-04-19,750,654,392
2020-06-29,1000,848,509
2019-03-07,750,615,369
2020-03-24,180,156,94
2020-08-15,1000,872,523
2019-03-25,1000,840,504
2020-08-10,191,157,94
2020-01-11,1000,848,509
2020-06-24,1250,1025,615
2019-12-04,250,210,126
2019-05-18,1000,820,492
2019-03-06,750,615,369
2020-06-24,750,660,396
2019-09-18,1000,848,509
2020-04-26,750,654,392
2020-04-08,750,624,374
2019-08-31,1000,880,528
2020-01-08,750,666,400
2020-08-01,1000,872,523
2020-03-29,382,328,197
2019-09-28,750,660,396
2020-09-03,750,654,392
2020-07-29,1000,840,504
2020-05-20,1250,1010,606
2020-03-03,1000,900,540
2019-04-24,750,666,400
2020-04-06,1000,848,509
2019-08-20,1000,832,499
2020-04-09,750,630,378
2020-12-28,1000,872,523
2019-10-14,750,666,400
2020-02-16,1160,976,586
2020-05-28,1000,808,485
2020-06-17,750,645,387
2020-11-05,500,444,266
2019-12-10,1000,848,509
2020-06-15,500,430,258
2020-04-21,1000,840,504
2019-02-12,750,675,405
2020-02-27,750,675,405
2019-02-09,1000,820,492
2019-04-14,1280,1128,677
2019-10-23,1250,1110,666
2020-02-17,500,424,254
2020-07-01,750,675,405
2019-03-12,180,144,86
2020-04-21,750,624,374
2020-05-25,750,660,396
2019-08-17,1250,1100,660
2020-05-03,750,645,387
2020-04-13,1000,832,499
2019-01-02,1000,880,528
2020-06-04,1000,888,533
2020-06-04,750,666,400
2020-01-31,1000,848,509
2019-11-17,1000,840,504
2019-08-31,1250,1100,660
2020-05-09,250,225,135
2019-03-01,750,675,405
2020-10-26,1000,888,533
2020-09-08,750,654,392
2019-04-12,1000,848,509
2019-04-24,750,615,369
2019-05-02,180,156,94
2020-08-18,1000,872,523
2020-02-05,1000,840,504
2019-11-05,191,157,94
2020-01-01,1000,848,509
2020-04-03,1250,1025,615
2019-07-19,250,210,126
2020-02-13,1000,820,492
2019-06-20,750,615,369
2020-05-24,750,660,396
2020-07-24,1000,848,509
2020-03-29,750,654,392
2020-12-14,750,624,374
2020-09-09,1000,880,528
2020-06-13,750,666,400
2020-07-23,1000,872,523
2019-12-18,382,328,197
2019-03-05,750,660,396
2020-04-08,750,654,392
2020-08-22,1000,840,504
2020-06-02,1250,1010,606
2020-04-26,1000,900,540
2019-08-17,750,666,400
2020-01-01,1000,848,509
2019-05-15,1000,832,499
2020-02-26,750,630,378
2020-03-07,1000,872,523
2020-05-02,750,666,400
2019-06-19,1160,976,586
2019-05-14,1000,808,485
2020-01-01,750,645,387
2020-03-01,500,444,266
2020-12-12,1000,848,509
2020-11-17,500,430,258
2020-04-19,1000,840,504
2020-05-02,750,675,405
2020-04-24,750,675,405
2020-06-18,1000,820,492
2020-04-12,1280,1128,677
2020-12-02,1250,1110,666
2020-02-03,500,424,254
2019-03-31,750,675,405
2020-05-21,180,144,86
2020-10-03,750,624,374
2020-04-15,750,660,396
2020-12-13,1250,1100,660
2020-02-15,750,645,387
2019-03-26,1000,832,499
2020-06-02,1000,880,528
2020-05-06,1000,888,533
2020-05-18,750,666,400
2020-03-27,1000,848,509
2019-04-17,1000,840,504
2019-02-11,1250,1100,660
2020-09-05,250,225,135
2020-03-06,750,675,405
2019-10-21,1000,888,533
2019-06-27,750,654,392
2020-11-12,1000,848,509
2019-03-21,750,615,369
2020-05-07,180,156,94
2019-08-12,1000,872,523
2020-12-13,1000,840,504
2019-09-17,191,157,94
2020-01-27,1000,848,509
2020-05-11,1250,1025,615
2020-12-11,250,210,126
2019-02-06,1000,820,492
2020-03-20,750,615,369
2020-05-02,750,660,396
2020-07-01,1000,848,509
2020-02-05,750,654,392
2019-04-03,750,624,374
2019-05-26,1000,880,528
2020-03-16,750,666,400
2019-01-10,1000,872,523
2019-07-03,382,328,197
2019-10-04,750,660,396
2020-10-10,750,654,392
2019-11-17,1000,840,504
2020-02-02,1250,1010,606
2020-05-07,1000,900,540
2020-07-05,750,666,400
2020-03-18,1000,848,509
2020-01-28,1000,832,499
2020-03-28,750,630,378
2020-12-15,1000,872,523
2019-11-23,750,666,400
2019-01-28,1160,976,586
2020-04-05,1000,808,485
2020-03-28,750,645,387
2019-08-19,500,444,266
2020-06-20,1000,848,509
2019-05-28,500,430,258
2019-08-25,1000,840,504
2019-01-19,750,675,405
2020-02-11,750,675,405
2020-09-29,1000,820,492
2019-08-10,1280,1128,677
2020-03-17,1250,1110,666
2020-01-06,500,424,254
2020-03-06,750,675,405
2019-10-22,180,144,86
2020-10-01,750,624,374
2020-03-30,750,660,396
2020-02-02,1250,1100,660
2020-02-28,750,645,387
2019-06-30,1000,832,499
2019-04-08,1000,880,528
2020-01-25,1000,888,533
2020-04-15,750,666,400
2020-04-03,1000,848,509
2019-07-19,1000,840,504
2020-11-29,1250,1100,660
2019-01-09,250,225,135
2020-08-31,750,675,405
2019-10-17,1000,888,533
2020-11-25,750,654,392
2019-12-12,1000,848,509
2019-04-10,750,615,369
2020-01-21,180,156,94
2020-04-09,1000,872,523
2019-05-16,1000,840,504
2020-01-06,191,157,94
2020-02-07,1000,848,509
2020-05-02,1250,1025,615
2020-01-16,250,210,126
2019-02-02,1000,820,492
2019-05-08,750,615,369
2020-06-29,750,660,396
2020-02-02,1000,848,509
2020-03-06,750,654,392
2019-02-15,750,624,374
2020-05-01,1000,880,528
2020-02-20,750,666,400
2020-08-19,1000,872,523
2019-05-03,382,328,197
2019-01-03,750,660,396
2019-05-09,750,654,392
2019-08-30,1000,840,504
2020-02-14,1250,1010,606
2020-05-13,1000,900,540
2020-12-27,750,666,400
2020-01-01,1000,848,509
2019-09-18,1000,832,499
2020-02-10,750,630,378
2019-06-09,1000,872,523
2020-07-06,750,666,400
2020-03-17,1160,976,586
2019-12-08,1000,808,485
2020-02-03,750,645,387
2019-10-10,500,444,266
2019-07-12,1000,848,509
2019-01-29,500,430,258
2019-05-01,1000,840,504
2020-03-14,750,675,405
2020-01-25,750,675,405
2019-10-29,1000,820,492
2020-11-27,1280,1128,677
2020-04-13,1250,1110,666
2020-01-29,500,424,254
2019-05-15,750,675,405
2020-07-18,180,144,86
2020-10-24,750,624,374
2020-01-30,750,660,396
2020-02-09,1250,1100,660
2020-04-04,750,645,387
2019-09-18,1000,832,499
2020-01-23,1000,880,528
2020-01-24,1000,888,533
2020-02-19,750,666,400
2020-01-29,1000,848,509
2020-12-22,1000,840,504
2020-05-14,1250,1100,660
2019-07-27,250,225,135
2020-10-19,750,675,405
2019-11-17,1000,888,533
2020-02-11,750,654,392
2020-02-03,1000,848,509
2019-03-17,750,615,369
2019-08-06,180,156,94
2019-08-31,1000,872,523
2020-07-09,1000,840,504
2020-12-16,191,157,94
2020-01-26,1000,848,509
2020-04-01,1250,1025,615
2019-06-01,250,210,126
2020-03-25,1000,820,492
2020-10-18,750,615,369
2020-01-10,750,660,396
2019-04-01,1000,848,509
2020-04-13,750,654,392
2020-11-04,750,624,374
2020-07-27,1000,880,528
2020-03-20,750,666,400
2020-05-23,1000,872,523
2020-10-31,382,328,197
2020-10-24,750,660,396
2020-11-02,750,654,392
2020-03-09,1000,840,504
2020-04-27,1250,1010,606
2020-02-17,1000,900,540
2020-08-03,750,666,400
2020-01-19,1000,848,509
2019-07-28,1000,832,499
2020-06-02,750,630,378
2020-07-30,1000,872,523
2020-08-31,750,666,400
2020-07-07,1160,976,586
2019-01-31,1000,808,485
2020-02-18,750,645,387
2020-07-24,500,444,266
2019-07-29,1000,848,509
2019-12-07,500,430,258
2020-03-01,1000,840,504
2019-05-11,750,675,405
2020-02-18,750,675,405
2020-04-30,1000,820,492
2020-09-22,1280,1100,660
2020-06-02,1250,1110,666
2020-05-17,500,424,254
2019-07-19,750,675,405
2020-11-15,180,144,86
2020-04-26,750,624,374
2020-05-21,750,660,396
2020-11-24,1250,1100,660
2020-06-07,750,645,387
2019-08-23,1000,832,499
2019-07-23,1000,880,528
2020-05-05,1000,888,533
2020-02-05,750,666,400
2020-02-12,1000,848,509
2020-10-15,1000,840,504
2019-06-30,1250,1100,660
2020-09-25,250,225,135
2020-12-26,750,675,405
2020-10-04,1000,888,533
2019-12-01,750,654,392
2020-06-18,1000,848,509
2020-06-01,750,615,369
2020-05-21,180,156,94
2019-09-24,1000,872,523
2019-06-08,1000,840,504
2020-11-21,191,157,94
2020-01-09,1000,848,509
2020-05-09,1250,1025,615
2019-07-19,250,210,126
2020-09-13,1000,820,492
2019-10-04,750,615,369
2020-04-01,750,660,396
2019-04-03,1000,872,523
2020-02-09,750,654,392
2020-05-26,750,624,374
2020-07-12,1000,880,528
2020-04-21,750,666,400
2020-02-20,1000,872,523
2020-08-17,382,328,197
2020-01-27,750,660,396
2019-02-05,750,654,392
2019-07-06,1000,840,504
2020-05-02,1250,1010,606
2020-03-11,1000,900,540
2019-05-24,750,666,400
2020-05-24,1000,848,509
2019-09-13,1000,832,499
2020-01-16,750,630,378
2020-10-27,1000,872,523
2019-02-12,750,666,400
2020-09-23,1160,976,586
2019-01-01,1000,808,485
2020-05-14,750,645,387
2019-08-30,500,444,266
2019-02-26,1000,848,509
2020-02-28,500,430,258
2020-10-15,1000,840,504
2019-03-27,750,675,405
2020-02-04,750,675,405
2020-11-30,1000,820,492
2019-11-11,1280,1100,660
2019-07-29,1250,1110,666
2020-05-08,500,424,254
2020-01-27,750,675,405
2019-12-27,180,144,86
2019-11-13,750,624,374
2020-02-21,750,660,396
2020-01-18,1250,1100,660
2020-05-07,750,645,387
2019-01-09,1000,832,499
2019-04-26,1000,880,528
2020-06-22,1000,888,533
2020-05-24,750,666,400
2020-03-10,1000,848,509
2019-09-06,1000,840,504
2019-08-30,1250,1100,660
2019-02-23,250,225,135
2020-10-04,750,675,405
2019-01-26,1000,888,533
2019-10-23,750,654,392
2019-06-22,1000,848,509
2020-04-15,750,615,369
2020-09-12,180,156,94
2019-06-18,1000,872,523
2020-03-23,1000,840,504
2020-08-25,191,157,94
2020-02-27,1000,848,509
2020-06-16,1250,1025,615
2019-10-20,250,210,126
2019-10-18,1000,820,492
2020-07-28,750,615,369
2020-02-26,750,660,396
2019-01-25,1000,872,523
2020-05-02,750,654,392
2019-12-21,750,624,374
2020-05-18,1000,880,528
2020-06-27,750,666,400
2019-06-01,1000,872,523
2019-01-02,382,328,197
2019-05-22,750,660,396
2019-12-11,750,654,392
2020-12-21,1000,900,540
2020-06-23,1250,1010,606
2020-03-17,1000,900,540
2019-02-19,750,666,400
2020-04-10,1000,848,509
2019-03-31,1000,832,499
2020-02-04,750,630,378
2020-04-22,1000,872,523
2019-04-12,750,666,400
2019-07-11,1160,976,586
2019-08-13,1000,808,485
2020-04-16,750,645,387
2019-03-10,500,444,266
2020-01-04,1000,848,509
2019-06-29,500,430,258
2020-04-12,1000,840,504
2019-08-28,750,675,405
2020-01-18,750,675,405
2019-06-08,1000,820,492
2020-10-01,1280,1100,660
2020-02-14,1250,1110,666
2020-01-27,500,424,254
2020-04-01,750,675,405
2019-11-30,180,144,86
2020-01-13,750,624,374
2020-06-21,750,660,396
2019-01-25,1250,1100,660
2020-05-02,750,645,387
2020-01-14,1000,832,499
2020-08-22,1000,880,528
2020-04-13,1000,888,533
2020-06-03,750,666,400
2020-02-07,1000,848,509
2020-06-18,1000,840,504
2020-03-18,1250,1100,660
2020-03-23,250,225,135
2019-01-04,750,675,405
2019-07-11,1000,888,533
2019-08-26,750,654,392
2019-12-04,1000,848,509
2020-05-31,750,615,369
2020-09-11,180,156,94
2020-12-19,1000,872,523
2019-09-13,1000,840,504
2019-07-19,191,157,94
2020-05-20,1000,848,509
2020-04-17,1250,1025,615
2019-10-15,250,210,126
2019-07-16,1000,820,492
2020-07-17,750,615,369
2020-01-13,750,660,396
2019-06-11,1000,872,523
2020-03-12,750,654,392
2020-03-02,750,624,374
2019-01-24,1000,880,528
2020-05-20,750,666,400
2020-05-28,1000,872,523
2020-05-24,382,328,197
2019-07-05,750,660,396
2020-03-18,750,654,392
2019-11-11,1000,900,540
2020-01-04,1250,1010,606
2020-02-14,1000,900,540
2020-06-01,750,666,400
2020-01-29,1000,848,509
2019-08-19,1000,832,499
2020-04-29,750,630,378
2020-09-02,1000,872,523
2020-08-30,750,666,400
