Fiscal Year,Fiscal Quarter,Fiscal Month,Country,Region,Customer Segment,Channel,Product,ProductCategory,Gross Sales,Budget,Forecast,Discount,Net Sales,COGS,Gross Profit,Half Yearly,VTB ($),VTB (%),link,description,Dates
FY20,Q2,4,USA,North & Central America,Non-Loyalty,Television,Cheese chunk,Cheese,-210,-270,-210,1290,29310,17580,11730,H1 Actual,2,0,NULL,NULL,00:00.0
FY20,Q4,12,India,Asia Pacific,Non-Loyalty,Retail Store,Orange SurfBoard,Surf Board,2820,600,3180,660,13380,6690,6690,H2 Forecast,74,3,NULL,NULL,00:00.0
FY20,Q4,11,Turkey,Europe,Non-Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Germany,Europe,Non-Loyalty,Retail Store,Black Shoes,Running Shoes,17850,0,20550,60,2160,1080,1080,H1 Actual,595,0,NULL,NULL,00:00.0
FY20,Q3,7,UK,Europe,Non-Loyalty,Wholesale,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,UK,Europe,Loyalty,Online,Blue Surf Board,Surf Board,1680,3900,1890,0,0,0,0,H2 Forecast,-74,0,NULL,NULL,00:00.0
FY20,Q2,5,Korea,Asia Pacific,Non-Loyalty,Online,Pink Shoes,Running Shoes,0,330,0,0,0,0,0,H1 Actual,-11,-1,NULL,NULL,00:00.0
FY20,Q1,2,Germany,Europe,Non-Loyalty,Television,White Shoes,Running Shoes,1200,1050,1380,60,1110,660,450,H1 Actual,5,0,NULL,NULL,00:00.0
FY20,Q4,10,UK,Europe,Non-Loyalty,Online,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,China,Asia Pacific,Loyalty,Retail Store,Blue Stripped SurfBoard,Surf Board,780,780,870,30,960,570,390,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Indonesia,Asia Pacific,Loyalty,Television,Black Shoes,Running Shoes,0,0,0,60,1290,780,510,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Indonesia,Asia Pacific,Non-Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,UK,Europe,Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Mexico,North & Central America,Non-Loyalty,Retail Store,Cheese chunk,Cheese,16500,62310,17340,30,390,150,240,H2 Forecast,-1527,0,NULL,NULL,00:00.0
FY20,Q2,5,USA,North & Central America,Non-Loyalty,Retail Store,Orange SurfBoard,Surf Board,2910,2910,3330,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Italy,Europe,Non-Loyalty,Wholesale,Yellow mature Dutch cheese,Cheese,1528650,982590,1797660,0,0,0,0,H2 Forecast,18202,0,NULL,NULL,00:00.0
FY20,Q1,1,India,Asia Pacific,Loyalty,Online,Black with red sole shoes,Running Shoes,0,150,0,0,0,0,0,H1 Actual,-5,-1,NULL,NULL,00:00.0
FY20,Q4,12,Mexico,North & Central America,Non-Loyalty,Online,French cheese,Cheese,1530,0,1710,0,0,0,0,H2 Forecast,51,0,NULL,NULL,00:00.0
FY20,Q1,3,Germany,Europe,Loyalty,Wholesale,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Germany,Europe,Loyalty,Online,White Shoes,Running Shoes,0,1380,0,2820,73650,58920,14730,H1 Actual,-46,-1,NULL,NULL,00:00.0
FY20,Q2,6,Brazil,South America,Non-Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Germany,Europe,Loyalty,Online,Black corkscrew,Corkscrew,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Mexico,North & Central America,Non-Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,UK,Europe,Loyalty,Wholesale,Orange SurfBoard,Surf Board,0,0,0,210,4410,3510,870,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Turkey,Europe,Loyalty,Wholesale,Unbreakable wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,France,Europe,Loyalty,Online,Orange SurfBoard,Surf Board,17790,19410,20160,90,2250,1350,900,H1 Actual,-54,0,NULL,NULL,00:00.0
FY20,Q4,12,Mexico,North & Central America,Loyalty,Online,Orange SurfBoard,Surf Board,15420,39000,17370,2610,70170,56130,14040,H2 Forecast,-786,0,NULL,NULL,00:00.0
FY20,Q2,6,Australia,Asia Pacific,Loyalty,Retail Store,Blue Shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,China,Asia Pacific,Non-Loyalty,Retail Store,Brown SurfBoard,Surf Board,0,210,0,30,480,240,240,H2 Forecast,-7,-1,NULL,NULL,00:00.0
FY20,Q4,10,Australia,Asia Pacific,Loyalty,Wholesale,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Italy,Europe,Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,240,0,0,0,0,0,H2 Forecast,-8,-1,NULL,NULL,00:00.0
FY20,Q4,12,UK,Europe,Loyalty,Online,Brown Shoes,Running Shoes,0,60,0,0,0,0,0,H2 Forecast,-2,-1,NULL,NULL,00:00.0
FY20,Q1,3,Brazil,South America,Non-Loyalty,Retail Store,Cheese circle,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,8,USA,North & Central America,Non-Loyalty,Wholesale,Blue Surf Board,Surf Board,90,0,30,0,0,0,0,H2 Forecast,3,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Loyalty,Television,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,3,France,Europe,Loyalty,Retail Store,Black Shoes,Running Shoes,0,0,0,30,660,450,210,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Korea,Asia Pacific,Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Turkey,Europe,Loyalty,Wholesale,Black with red sole shoes,Running Shoes,1380,0,1530,0,0,0,0,H2 Forecast,46,0,NULL,NULL,00:00.0
FY20,Q4,12,Japan,Asia Pacific,Non-Loyalty,Online,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,UK,Europe,Non-Loyalty,Online,Cheese chunk,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,UK,Europe,Non-Loyalty,Television,Brown Shoes,Running Shoes,0,0,0,3780,76560,15300,61260,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Italy,Europe,Loyalty,Online,Black Shoes,Running Shoes,0,5010,0,0,0,0,0,H1 Actual,-167,-1,NULL,NULL,00:00.0
FY20,Q2,6,Australia,Asia Pacific,Loyalty,Television,Blue Surf Board,Surf Board,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Italy,Europe,Non-Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,France,Europe,Loyalty,Online,Yellow mature Dutch cheese,Cheese,11430,3780,12870,0,0,0,0,H2 Forecast,255,2,NULL,NULL,00:00.0
FY20,Q4,12,India,Asia Pacific,Non-Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,0,0,0,120,60,60,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Canada,North & Central America,Loyalty,Wholesale,Cheese chunk,Cheese,0,13290,0,0,0,0,0,H1 Actual,-443,-1,NULL,NULL,00:00.0
FY20,Q4,12,China,Asia Pacific,Non-Loyalty,Television,Crystal Wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,China,Asia Pacific,Non-Loyalty,Wholesale,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Korea,Asia Pacific,Loyalty,Online,Cheese circle,Cheese,0,0,0,360,8850,5310,3540,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,UK,Europe,Loyalty,Online,Brown SurfBoard,Surf Board,9780,2130,10770,0,0,0,0,H2 Forecast,255,3,NULL,NULL,00:00.0
FY20,Q2,5,India,Asia Pacific,Non-Loyalty,Online,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,France,Europe,Non-Loyalty,Online,Yellow mature Dutch cheese,Cheese,4140,132000,4860,60,1260,750,510,H2 Forecast,-4262,0,NULL,NULL,00:00.0
FY20,Q4,10,Mexico,North & Central America,Loyalty,Television,Brown SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Australia,Asia Pacific,Non-Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,USA,North & Central America,Loyalty,Television,White Shoes,Running Shoes,0,0,0,6750,158040,110610,47400,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Japan,Asia Pacific,Non-Loyalty,Retail Store,Blue Stripped SurfBoard,Surf Board,1140,0,1320,0,0,0,0,H2 Forecast,38,0,NULL,NULL,00:00.0
FY20,Q4,11,France,Europe,Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,3,China,Asia Pacific,Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,420,210,210,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Indonesia,Asia Pacific,Loyalty,Wholesale,Blue Stripped SurfBoard,Surf Board,5640,0,5910,720,14550,2910,11640,H1 Actual,188,0,NULL,NULL,00:00.0
FY20,Q4,12,USA,North & Central America,Loyalty,Television,Cheese chunk,Cheese,14160,14580,14280,720,14580,8730,5820,H2 Forecast,-14,0,NULL,NULL,00:00.0
FY20,Q2,6,Italy,Europe,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,1650,-19950,1920,2700,54750,10950,43800,H1 Actual,720,-1,NULL,NULL,00:00.0
FY20,Q4,11,Germany,Europe,Non-Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,France,Europe,Non-Loyalty,Online,Black Shoes,Running Shoes,15360,0,16260,300,6930,4860,2070,H2 Forecast,512,0,NULL,NULL,00:00.0
FY20,Q1,2,UK,Europe,Non-Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Germany,Europe,Loyalty,Retail Store,Blue Surf Board,Surf Board,104610,99120,120390,0,0,0,0,H1 Actual,183,0,NULL,NULL,00:00.0
FY20,Q1,2,Spain,Europe,Loyalty,Retail Store,Pink Shoes,Running Shoes,0,120,0,0,0,0,0,H1 Actual,-4,-1,NULL,NULL,00:00.0
FY20,Q2,4,Italy,Europe,Loyalty,Retail Store,White Shoes,Running Shoes,300,330,300,2160,42090,8430,33660,H1 Actual,-1,0,NULL,NULL,00:00.0
FY20,Q4,10,Turkey,Europe,Non-Loyalty,Online,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Korea,Asia Pacific,Loyalty,Retail Store,Black Shoes,Running Shoes,14970,14970,17490,30,840,510,330,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,USA,North & Central America,Loyalty,Television,Pink Shoes,Running Shoes,0,0,0,60,1410,990,420,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,India,Asia Pacific,Non-Loyalty,Wholesale,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Non-Loyalty,Television,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Korea,Asia Pacific,Non-Loyalty,Online,Blue Surf Board,Surf Board,870,2040,1020,30,840,570,240,H2 Forecast,-39,0,NULL,NULL,00:00.0
FY20,Q4,10,Indonesia,Asia Pacific,Loyalty,Retail Store,Orange SurfBoard,Surf Board,60,60,60,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Mexico,North & Central America,Non-Loyalty,Retail Store,Yellow mature Dutch cheese,Cheese,14160,16080,14370,0,0,0,0,H2 Forecast,-64,0,NULL,NULL,00:00.0
FY20,Q1,3,Australia,Asia Pacific,Non-Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,210,0,0,0,0,0,H1 Actual,-7,-1,NULL,NULL,00:00.0
FY20,Q3,9,Canada,North & Central America,Non-Loyalty,Wholesale,French cheese,Cheese,25620,0,27120,0,0,0,0,H2 Forecast,854,0,NULL,NULL,00:00.0
FY20,Q2,4,Italy,Europe,Non-Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Germany,Europe,Non-Loyalty,Wholesale,White Shoes,Running Shoes,0,3060,0,30,510,300,210,H1 Actual,-102,-1,NULL,NULL,00:00.0
FY20,Q1,3,Brazil,South America,Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Germany,Europe,Loyalty,Online,Black corkscrew,Corkscrew,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Canada,North & Central America,Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Italy,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,0,0,0,390,12990,7800,5190,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Turkey,Europe,Non-Loyalty,Television,Unbreakable wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Germany,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,120,90,150,90,1530,630,930,H1 Actual,1,0,NULL,NULL,00:00.0
FY20,Q2,4,Canada,North & Central America,Non-Loyalty,Online,Orange SurfBoard,Surf Board,3660,32220,4170,360,8730,6120,2610,H1 Actual,-952,0,NULL,NULL,00:00.0
FY20,Q1,3,Italy,Europe,Non-Loyalty,Television,Blue Shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,7,India,Asia Pacific,Loyalty,Retail Store,Blue Surf Board,Surf Board,0,120,0,30,810,420,420,H2 Forecast,-4,-1,NULL,NULL,00:00.0
FY20,Q4,10,China,Asia Pacific,Loyalty,Television,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,Spain,Europe,Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,930,0,0,0,0,0,H1 Actual,-31,-1,NULL,NULL,00:00.0
FY20,Q3,7,China,Asia Pacific,Non-Loyalty,Wholesale,Brown Shoes,Running Shoes,0,4650,0,0,0,0,0,H2 Forecast,-155,-1,NULL,NULL,00:00.0
FY20,Q1,3,USA,North & Central America,Non-Loyalty,Television,Cheese circle,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Brazil,South America,Loyalty,Television,Blue Surf Board,Surf Board,15720,0,17850,0,0,0,0,H1 Actual,524,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Loyalty,Retail Store,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Germany,Europe,Loyalty,Wholesale,Brown Shoes,Running Shoes,0,0,0,30,660,480,210,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Korea,Asia Pacific,Loyalty,Wholesale,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,France,Europe,Loyalty,Wholesale,Black with red sole shoes,Running Shoes,480,0,510,0,0,0,0,H2 Forecast,16,0,NULL,NULL,00:00.0
FY20,Q3,7,Spain,Europe,Non-Loyalty,Television,Black Shoes,Running Shoes,0,0,0,30,510,300,210,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,UK,Europe,Non-Loyalty,Wholesale,Cheese chunk,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,8,USA,North & Central America,Non-Loyalty,Online,Brown Shoes,Running Shoes,0,0,0,2160,44850,31410,13470,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Spain,Europe,Loyalty,Online,Black Shoes,Running Shoes,0,6510,0,0,0,0,0,H1 Actual,-217,-1,NULL,NULL,00:00.0
FY20,Q1,2,Australia,Asia Pacific,Loyalty,Wholesale,Blue Surf Board,Surf Board,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Non-Loyalty,Television,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Brazil,South America,Non-Loyalty,Television,Cheese chunk,Cheese,17040,5520,18030,0,0,0,0,H2 Forecast,384,2,NULL,NULL,00:00.0
FY20,Q2,5,Italy,Europe,Non-Loyalty,Television,White Shoes,Running Shoes,0,0,0,0,120,60,60,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Brazil,South America,Non-Loyalty,Online,Cheese chunk,Cheese,0,2100,0,0,0,0,0,H1 Actual,-70,-1,NULL,NULL,00:00.0
FY20,Q4,12,Australia,Asia Pacific,Non-Loyalty,Retail Store,Crystal Wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,India,Asia Pacific,Non-Loyalty,Wholesale,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,2,USA,North & Central America,Non-Loyalty,Retail Store,Cheese circle,Cheese,0,0,0,4050,126840,76110,50730,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,USA,North & Central America,Loyalty,Wholesale,Brown SurfBoard,Surf Board,210,-90,210,0,0,0,0,H2 Forecast,10,-3,NULL,NULL,00:00.0
FY20,Q1,3,India,Asia Pacific,Non-Loyalty,Television,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,USA,North & Central America,Non-Loyalty,Retail Store,Yellow mature Dutch cheese,Cheese,4007790,3491310,4376520,3870,121020,60510,60510,H2 Forecast,17217,0,NULL,NULL,00:00.0
FY20,Q4,10,Brazil,South America,Non-Loyalty,Television,Brown SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,4,Indonesia,Asia Pacific,Non-Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Canada,North & Central America,Non-Loyalty,Wholesale,White Shoes,Running Shoes,0,0,0,480,11190,2250,8970,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Korea,Asia Pacific,Non-Loyalty,Retail Store,Blue Stripped SurfBoard,Surf Board,270,0,300,0,0,0,0,H1 Actual,9,0,NULL,NULL,00:00.0
FY20,Q4,11,Italy,Europe,Non-Loyalty,Television,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Mexico,North & Central America,Loyalty,Retail Store,Black Shoes,Running Shoes,0,0,0,60,2070,1440,630,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,France,Europe,Non-Loyalty,Online,Blue Stripped SurfBoard,Surf Board,6780,0,7110,660,15690,10980,4710,H2 Forecast,226,0,NULL,NULL,00:00.0
FY20,Q4,12,USA,North & Central America,Loyalty,Retail Store,Cheese chunk,Cheese,1759920,1918290,1818360,3060,57870,23160,34740,H2 Forecast,-5279,0,NULL,NULL,00:00.0
FY20,Q2,4,Italy,Europe,Non-Loyalty,Wholesale,Orange SurfBoard,Surf Board,30,9120,30,60,1380,840,570,H1 Actual,-303,-1,NULL,NULL,00:00.0
FY20,Q4,11,Turkey,Europe,Loyalty,Wholesale,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,UK,Europe,Loyalty,Wholesale,Black Shoes,Running Shoes,29670,0,34890,1290,28380,5670,22710,H2 Forecast,989,0,NULL,NULL,00:00.0
FY20,Q3,8,UK,Europe,Non-Loyalty,Wholesale,French cheese,Cheese,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,France,Europe,Loyalty,Television,Blue Surf Board,Surf Board,330,300,390,0,0,0,0,H2 Forecast,1,0,NULL,NULL,00:00.0
FY20,Q3,7,Canada,North & Central America,Non-Loyalty,Retail Store,Pink Shoes,Running Shoes,0,750,0,0,0,0,0,H2 Forecast,-25,-1,NULL,NULL,00:00.0
FY20,Q2,6,Germany,Europe,Loyalty,Television,White Shoes,Running Shoes,540,450,600,240,5010,3510,1500,H1 Actual,3,0,NULL,NULL,00:00.0
FY20,Q4,10,Spain,Europe,Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Korea,Asia Pacific,Non-Loyalty,Retail Store,Black Shoes,Running Shoes,150,150,150,30,510,300,210,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Canada,North & Central America,Loyalty,Online,Brown Shoes,Running Shoes,0,0,0,60,1890,1320,570,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Japan,Asia Pacific,Non-Loyalty,Wholesale,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Non-Loyalty,Television,Orange SurfBoard,Surf Board,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,11,France,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,1590,1560,1710,30,810,570,240,H2 Forecast,1,0,NULL,NULL,00:00.0
FY20,Q4,11,USA,North & Central America,Non-Loyalty,Retail Store,Orange SurfBoard,Surf Board,600,600,660,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,Italy,Europe,Non-Loyalty,Wholesale,Yellow mature Dutch cheese,Cheese,1528650,982590,1797660,0,0,0,0,H2 Forecast,18202,0,NULL,NULL,00:00.0
FY20,Q1,2,Spain,Europe,Non-Loyalty,Retail Store,Black with red sole shoes,Running Shoes,0,210,0,0,0,0,0,H1 Actual,-7,-1,NULL,NULL,00:00.0
FY20,Q2,4,Mexico,North & Central America,Loyalty,Wholesale,French cheese,Cheese,8730,0,10260,0,0,0,0,H1 Actual,291,0,NULL,NULL,00:00.0
FY20,Q1,2,Germany,Europe,Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,8,Italy,Europe,Loyalty,Retail Store,White Shoes,Running Shoes,0,210,0,210,4230,2940,1260,H2 Forecast,-7,-1,NULL,NULL,00:00.0
FY20,Q1,3,Brazil,South America,Loyalty,Retail Store,French cheese,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Turkey,Europe,Loyalty,Online,Black corkscrew,Corkscrew,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,10,Canada,North & Central America,Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,6,Germany,Europe,Loyalty,Online,Orange SurfBoard,Surf Board,0,0,0,210,5550,3330,2220,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Turkey,Europe,Non-Loyalty,Television,Unbreakable wineglass,Cocktail Glasses,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q3,7,Italy,Europe,Loyalty,Television,Orange SurfBoard,Surf Board,2070,1950,2370,450,13800,11040,2760,H2 Forecast,4,0,NULL,NULL,00:00.0
FY20,Q4,12,Mexico,North & Central America,Loyalty,Online,Orange SurfBoard,Surf Board,15420,39000,17370,2610,70170,56130,14040,H2 Forecast,-786,0,NULL,NULL,00:00.0
FY20,Q2,6,Switzerland,Europe,Loyalty,Online,Blue Shoes,Running Shoes,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,9,Canada,North & Central America,Loyalty,Online,Orange SurfBoard,Surf Board,0,3390,0,30,540,270,270,H2 Forecast,-113,-1,NULL,NULL,00:00.0
FY20,Q4,10,China,Asia Pacific,Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q4,12,China,Asia Pacific,Non-Loyalty,Retail Store,Gray with white sole shoes,Running Shoes,0,270,0,0,0,0,0,H2 Forecast,-9,-1,NULL,NULL,00:00.0
FY20,Q4,12,Indonesia,Asia Pacific,Non-Loyalty,Television,Black with red sole shoes,Running Shoes,900,870,930,0,0,0,0,H2 Forecast,1,0,NULL,NULL,00:00.0
FY20,Q1,3,Brazil,South America,Loyalty,Wholesale,Cheese circle,Cheese,0,0,0,0,0,0,0,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q3,9,USA,North & Central America,Non-Loyalty,Television,Blue Surf Board,Surf Board,660,0,780,0,0,0,0,H2 Forecast,22,0,NULL,NULL,00:00.0
FY20,Q4,11,Spain,Europe,Non-Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q1,1,Spain,Europe,Non-Loyalty,Television,Pink Shoes,Running Shoes,0,0,0,30,420,210,210,H1 Actual,0,0,NULL,NULL,00:00.0
FY20,Q4,11,Korea,Asia Pacific,Loyalty,Online,White Shoes,Running Shoes,0,0,0,0,0,0,0,H2 Forecast,0,0,NULL,NULL,00:00.0
FY20,Q2,5,Canada,North & Central America,Non-Loyalty,Retail Store,Black with red sole shoes,Running Shoes,120,0,120,0,0,0,0,H1 Actual,4,0,NULL,NULL,00:00.0
