Region,Country,ProductCategory,Campaign_ID,Campaign_Name,Qualification,Qualification_Number,Response_Status,Responses,Cost,Revenue,ROI,Lead_Generation,Revenue_Target,Campaign_Tactic,Customer_Segment,Status,Profit,Marketing_Cost,CampaignID,Date
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1111,30,13525.2,15840,NA,231608,Gen Z (2000s - now),TV,Awareness,408.68,118.847,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,200,11180.56,13860,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,706,240,23515.76,1980,NA,216223,NULL,Email,Purchase,1520.31,76.364,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,237,1.25,61101.14,5940,NA,-278.5,Gen X (60 ? 80s),Event,Awareness,-143.68,714.1,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,896,97,11608.99,11880,NA,401.4,Baby Boomers (45 ? 60s),Social,Awareness,-69.16,359.376,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,200,26845.04,5940,NA,327114,Gen Z (2000s - now),Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,767,1.25,22784.08,7920,NA,235467,Gen Z (2000s - now),Media Placements,Consideration,185.3,85.391,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,636,30,66984.93,7920,NA,1471.86,Boomer; GenX; GenY; GenZ,Event,Awareness,-350.86,249.135,25,00:00.0
Asia Pacific,Japan,NULL,25,EnjoyTheMoment,NA,NA,Qualified,971,270,51375.42,3960,NA,-7398.14,Baby Boomers (45 ? 60s),TV,Intent,143.37,11.189,25,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,129,163,26845.04,9900,NA,327114,Boomer; GenX; GenY; GenZ,Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,163,19134.29,3960,NA,-909.09,Boomer; GenX; GenY; GenZ,Social,Consideration,326.49,743.829,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,657,156,11636.16,15840,NA,311984,Boomer; GenX; GenY; GenZ,Social,Inquiries,481.1,50.609,50,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,891,97,67230.44,13860,NA,2738.97,Gen Y (80 ? 2000s),Media Placements,Intent,-61.69,62.487,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,735,56,82515.29,9900,NA,-2680.83,Boomer; GenX; GenY; GenZ,Email,Inquiries,214.28,531.924,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,740,156,8278.32,11880,NA,511.76,Gen X (60 ? 80s),Media Placements,Awareness,-395.06,140.316,25,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,411,191,23813.6,19800,NA,237711,Gen Z (2000s - now),Social,Intent,1160.93,52.836,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,5940,NA,327114,Gen X (60 ? 80s),Social,Consideration,2002.6,79.492,25,00:00.0
South America,Brazil,NULL,45,LetsRun,NA,NA,Accepted,811,174,87032.86,17820,NA,-3992.49,NULL,Media Placements,Purchase,-548.81,408.129,45,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1091,240,8000.88,7920,NA,175797,Boomer; GenX; GenY; GenZ,TV,Awareness,-101.49,41.956,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,19800,NA,267410,Gen X (60 ? 80s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,598,230,9494.39,11880,NA,-3152.63,Gen X (60 ? 80s),Media Placements,Awareness,446.41,75.638,105,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,200,67976.08,11880,NA,632.59,Baby Boomers (45 ? 60s),Social,Awareness,-359.6,521.479,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,971,191,30455.65,5940,NA,-2065.52,Baby Boomers (45 ? 60s),Social,Awareness,-636.79,907.28,11,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,30,1,9018.82,19800,NA,180.95,Boomer; GenX; GenY; GenZ,Event,Inquiries,-101.78,215.944,34,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,386,156,22431.02,9900,NA,133892,Baby Boomers (45 ? 60s),TV,Consideration,12.07,117.878,11,00:00.0
Europe,Germany,NULL,45,LetsRun,NA,NA,Qualified,862,156,45856.48,11880,NA,226508,Gen Z (2000s - now),TV,Awareness,479.06,32.164,45,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,1021,56,6940.08,13860,NA,115583,Gen Y (80 ? 2000s),Social,Consideration,-576.81,26.656,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,1104,30,20079.04,11880,NA,99892,Boomer; GenX; GenY; GenZ,TV,Inquiries,1412.87,105.604,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,494,240,67510.69,19800,NA,-4862.04,Gen Z (2000s - now),Email,Purchase,-199.33,254.185,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,194,290,22041.52,11880,NA,239037,Gen X (60 ? 80s),Media Placements,Purchase,1065.9,24.905,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,72,197,22784.08,9900,NA,235467,Baby Boomers (45 ? 60s),Media Placements,Consideration,185.3,85.391,50,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,977,1,7474.56,15840,NA,260117,Baby Boomers (45 ? 60s),TV,Intent,-79.39,117.351,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,13860,NA,267410,Gen X (60 ? 80s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,980,191,12202.74,7920,NA,195126,Gen Z (2000s - now),TV,Awareness,-1755.42,25.551,11,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,177,2,84282.58,15840,NA,4596.33,Boomer; GenX; GenY; GenZ,TV,Consideration,392.08,496.865,21,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,151,56,39773.87,3960,NA,5084.83,Boomer; GenX; GenY; GenZ,Media Placements,Purchase,166.23,856.881,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,642,240,19014.93,11880,NA,-2324.46,Baby Boomers (45 ? 60s),TV,Inquiries,-668.46,381.023,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,250,240,8966.48,13860,NA,290632,Baby Boomers (45 ? 60s),Event,Consideration,262.14,80.019,50,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,1009,290,65470.2,9900,NA,-3432.93,Gen Z (2000s - now),Email,Awareness,-238.53,565.367,105,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,980,191,20995.14,7920,NA,-702.57,Boomer; GenX; GenY; GenZ,TV,Awareness,578.42,724.302,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,163,240,17848.64,13860,NA,254235,Gen X (60 ? 80s),Event,Inquiries,1433.27,29.954,50,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,664,191,8519.04,1980,NA,323833,Boomer; GenX; GenY; GenZ,Email,Awareness,-1359.66,43.809,105,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1024,174,14002.56,19800,NA,124321,Gen X (60 ? 80s),Event,Awareness,975.97,76.007,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,752,56,8948.8,7920,NA,93330,Gen Z (2000s - now),Social,Inquiries,803.42,75.854,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,420,240,22861.6,9900,NA,173026,Gen Y (80 ? 2000s),TV,Inquiries,2122.11,36.023,50,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,229,197,37153.94,13860,NA,407.72,Gen Z (2000s - now),Social,Inquiries,-120.31,446.485,21,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,482,1.25,20389.12,1980,NA,266883,Gen X (60 ? 80s),Social,Inquiries,1387.54,39.593,21,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,537,56,11512.4,3960,NA,130118,Boomer; GenX; GenY; GenZ,Media Placements,Consideration,-919.7,109.48,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,445,240,17644.64,19800,NA,330854,Baby Boomers (45 ? 60s),Social,Purchase,-937.89,104.822,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,19800,NA,267410,Baby Boomers (45 ? 60s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,195,174,78916.4,5940,NA,-677.43,Gen Z (2000s - now),Social,Awareness,353.34,581.601,105,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,107,270,15643.95,17820,NA,-7830.29,Gen X (60 ? 80s),TV,Inquiries,403.4,58.528,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,642,56,12900.96,11880,NA,151147,Boomer; GenX; GenY; GenZ,TV,Inquiries,1018.81,35.088,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,31719.8,13860,NA,-4678.72,Boomer; GenX; GenY; GenZ,Social,Awareness,-261.63,575.652,25,00:00.0
South America,Brazil,NULL,45,LetsRun,NA,NA,Accepted,498,1.25,22532.48,15840,NA,167280,Baby Boomers (45 ? 60s),Media Placements,Purchase,-1343,103.343,45,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,752,270,47913.01,13860,NA,-1718.46,Gen Z (2000s - now),Social,Purchase,349.5,246.978,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,13860,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,81,230,7095.12,13860,NA,148121,Gen X (60 ? 80s),Social,Awareness,-64.26,41.973,25,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,30,19134.29,3960,NA,-909.09,Baby Boomers (45 ? 60s),Social,Consideration,326.49,743.829,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,306,174,12501.12,17820,NA,105043,Baby Boomers (45 ? 60s),Email,Inquiries,1433.44,46.444,50,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,1032,191,11586.6,19800,NA,386.84,Baby Boomers (45 ? 60s),Email,Inquiries,485.07,749.084,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,47,240,8050.35,7920,NA,6161.59,Gen Y (80 ? 2000s),TV,Consideration,-267.89,146.824,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,54008.73,3960,NA,-9705.98,Gen Y (80 ? 2000s),Social,Awareness,-141.24,18.513,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,163,191,75870.29,11880,NA,-6629.15,Baby Boomers (45 ? 60s),Social,Consideration,-72.22,527.714,11,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,226,240,72858.35,9900,NA,-89.48,Boomer; GenX; GenY; GenZ,TV,Awareness,157.13,381.563,50,00:00.0
North & Central America,USA,NULL,105,BeUnique,NA,NA,Active,33,290,54157.95,13860,NA,1765.68,Gen Y (80 ? 2000s),Email,Consideration,184.46,546.364,105,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,234,174,24054.05,11880,NA,286348,Baby Boomers (45 ? 60s),Social,Intent,754.29,64.141,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,129,163,9643.52,1980,NA,-4010.52,Gen Z (2000s - now),Social,Consideration,348.54,881.446,25,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,1079,270,12584.08,13860,NA,243899,Gen Z (2000s - now),TV,Inquiries,565.42,53.057,21,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Gen X (60 ? 80s),Social,Awareness,1037.34,53.992,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,84,191,74083.97,3960,NA,-1215.23,Boomer; GenX; GenY; GenZ,Event,Inquiries,26.54,175.28,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,129,156,26845.04,9900,NA,327114,Gen Z (2000s - now),Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,45,LetsRun,NA,NA,Active,299,1,97108.98,9900,NA,933.54,Gen X (60 ? 80s),Email,Inquiries,188.53,133.967,45,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,19800,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,977,1.25,43170.6,5940,NA,-1811.35,Boomer; GenX; GenY; GenZ,TV,Intent,-633.37,587.708,50,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,977,1.25,7474.56,15840,NA,260117,Gen Y (80 ? 2000s),TV,Intent,-79.39,117.351,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,163,174,17848.64,19800,NA,254235,Gen X (60 ? 80s),Event,Inquiries,1433.27,29.954,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,227,56,27860.67,5940,NA,-3315.53,Baby Boomers (45 ? 60s),Social,Consideration,-806.41,726.803,50,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,30,1.25,9163.68,1980,NA,189992,Boomer; GenX; GenY; GenZ,Event,Inquiries,942.31,23.766,34,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,13860,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,996,191,5003.94,19800,NA,2504.92,Gen X (60 ? 80s),TV,Intent,781.62,73.043,11,00:00.0
North & Central America,USA,NULL,45,LetsRun,NA,NA,Active,516,191,50969.23,3960,NA,-4202.49,Gen Z (2000s - now),TV,Consideration,240.57,125.69,45,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,503,174,23630.95,5940,NA,145928,Gen Y (80 ? 2000s),TV,Awareness,-540.6,33.541,11,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,13860,NA,267410,Baby Boomers (45 ? 60s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,34,FallintoWinter,NA,NA,Qualified,842,1.25,52239.34,9900,NA,-3208.23,Gen Z (2000s - now),Event,Awareness,349.84,373.078,34,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,177,191,12202.74,9900,NA,195126,Baby Boomers (45 ? 60s),TV,Awareness,-1755.42,25.551,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,894,240,18381.76,5940,NA,151147,Gen X (60 ? 80s),Event,Consideration,428.91,116.654,50,00:00.0
Asia Pacific,Japan,NULL,45,LetsRun,NA,NA,Qualified,296,230,19401.76,13860,NA,125596,Gen X (60 ? 80s),Email,Intent,-1918.79,47.022,45,00:00.0
North & Central America,USA,NULL,34,FallintoWinter,NA,NA,Active,449,174,13415.04,15840,NA,98634,Gen X (60 ? 80s),TV,Inquiries,1433.78,36.363,34,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,620,1.25,28872.26,1980,NA,311083,Baby Boomers (45 ? 60s),Media Placements,Inquiries,1781.26,65.722,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,19800,NA,327114,Gen X (60 ? 80s),Social,Consideration,2002.6,79.492,25,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1043,1.25,44885.77,7920,NA,-696.36,Gen Z (2000s - now),Email,Awareness,403.69,336.778,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,241,174,9583.86,9900,NA,-1659.02,Boomer; GenX; GenY; GenZ,Social,Inquiries,548.12,444.37,50,00:00.0
North & Central America,USA,NULL,21,SustainableFashion ,NA,NA,Active,948,156,9698.16,11880,NA,126701,Baby Boomers (45 ? 60s),TV,Inquiries,1112.48,98.073,21,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,629,270,59906.06,17820,NA,2199,Boomer; GenX; GenY; GenZ,Event,Inquiries,-583.49,773.601,50,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,461,197,19517.46,9900,NA,-6084.85,Boomer; GenX; GenY; GenZ,Social,Awareness,-294.34,305.017,105,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,200,11180.56,7920,NA,267410,Gen Z (2000s - now),Social,Awareness,1037.34,53.992,25,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,30,19134.29,3960,NA,-909.09,Baby Boomers (45 ? 60s),Social,Consideration,326.49,743.829,25,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,509,1.25,19645.2,15840,NA,207927,Gen X (60 ? 80s),Social,Awareness,1708.5,74.341,105,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,194,56,7738.23,17820,NA,999.38,NULL,Media Placements,Purchase,333.81,538.71,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,200,26845.04,19800,NA,327114,Boomer; GenX; GenY; GenZ,Social,Consideration,2002.6,79.492,25,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,1021,240,84399.28,15840,NA,-8002.4,Boomer; GenX; GenY; GenZ,Social,Consideration,287.84,598.385,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,151,240,22041.52,1980,NA,239037,Boomer; GenX; GenY; GenZ,Media Placements,Purchase,1065.9,24.905,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,156,19134.29,3960,NA,-909.09,Boomer; GenX; GenY; GenZ,Social,Consideration,326.49,743.829,25,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,19800,NA,327114,Gen Y (80 ? 2000s),Social,Consideration,2002.6,79.492,25,00:00.0
Europe,Germany,NULL,45,LetsRun,NA,NA,Qualified,921,290,53385.44,17820,NA,194174,Boomer; GenX; GenY; GenZ,Social,Awareness,1409.47,57.953,45,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,461,30,14776.4,5940,NA,304419,Gen Y (80 ? 2000s),Social,Awareness,-696.32,29.546,105,00:00.0
North & Central America,USA,NULL,45,LetsRun,NA,NA,Active,1066,30,23468.16,9900,NA,214574,Baby Boomers (45 ? 60s),Event,Consideration,-1298.97,23.086,45,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Gen Y (80 ? 2000s),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Asia Pacific,Japan,NULL,50,LetsGoSurf,NA,NA,Qualified,741,260,73244.76,7920,NA,6252.9,Gen Y (80 ? 2000s),Event,Intent,-334.94,672.123,50,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,200,26845.04,5940,NA,327114,Gen Y (80 ? 2000s),Social,Consideration,2002.6,79.492,25,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,194,191,80729.17,9900,NA,493.51,Baby Boomers (45 ? 60s),Media Placements,Awareness,-589.6,442.796,11,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,752,1.25,36528.79,15840,NA,-566.45,Gen Z (2000s - now),Social,Awareness,486.92,826.207,105,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,7920,NA,267410,Gen Z (2000s - now),Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,54008.73,3960,NA,-9705.98,Baby Boomers (45 ? 60s),Social,Awareness,-141.24,18.513,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,445,240,3053.65,17820,NA,2555.16,Gen Y (80 ? 2000s),Social,Purchase,-270.18,526.511,50,00:00.0
South America,Brazil,NULL,45,LetsRun,NA,NA,Accepted,498,1.25,22532.48,15840,NA,167280,Boomer; GenX; GenY; GenZ,Media Placements,Purchase,-1343,103.343,45,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,156,24388.44,5940,NA,2673.28,Baby Boomers (45 ? 60s),Social,Awareness,33.61,946.151,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,620,270,28872.26,1980,NA,311083,Boomer; GenX; GenY; GenZ,Media Placements,Inquiries,1781.26,65.722,11,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,436,174,28254.34,11880,NA,2440.44,Boomer; GenX; GenY; GenZ,Media Placements,Consideration,-757.33,614.367,50,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,325,191,23915.33,13860,NA,258740,Gen Z (2000s - now),Social,Inquiries,1423.07,32.776,11,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,183,270,17644.64,19800,NA,330854,Gen Z (2000s - now),Social,Purchase,-937.89,104.822,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,156,8121.92,3960,NA,181764,Gen Z (2000s - now),Social,Awareness,128.01,36.771,25,00:00.0
North & Central America,USA,NULL,11,GoEco,NA,NA,Active,479,191,61182.84,3960,NA,-2002.62,Baby Boomers (45 ? 60s),Event,Consideration,326.09,724.362,11,00:00.0
Europe,Germany,NULL,11,GoEco,NA,NA,Qualified,896,191,16521.55,13860,NA,302260,Gen Z (2000s - now),Social,Awareness,-1318.52,23.018,11,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,5940,NA,327114,Baby Boomers (45 ? 60s),Social,Consideration,2002.6,79.492,25,00:00.0
Asia Pacific,Japan,NULL,11,GoEco,NA,NA,Qualified,411,191,43027.05,15840,NA,-3147.15,Gen Z (2000s - now),Social,Intent,152.98,306.179,11,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,812,1.25,16686.07,9900,NA,-603.81,Gen X (60 ? 80s),TV,Awareness,-269.01,399.374,105,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,459,56,13148.48,9900,NA,249186,Boomer; GenX; GenY; GenZ,Social,Consideration,-1077.29,26.418,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,240,56,32188.03,1980,NA,1051.14,Boomer; GenX; GenY; GenZ,Event,Inquiries,-134.59,313.569,50,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1098,240,51863.37,5940,NA,4005.58,Gen X (60 ? 80s),Social,Awareness,246.35,292.197,50,00:00.0
Europe,Germany,NULL,105,BeUnique,NA,NA,Qualified,598,270,22626.32,7920,NA,116892,Gen Z (2000s - now),Media Placements,Awareness,66.47,91.018,105,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,494,260,23515.76,9900,NA,216223,Gen X (60 ? 80s),Email,Purchase,1520.31,76.364,50,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,759,240,7368.48,1980,NA,237490,Gen Y (80 ? 2000s),Media Placements,Purchase,220.49,33.592,50,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,683,56,21572.86,13860,NA,5860.62,Gen Z (2000s - now),Event,Awareness,4.61,134.475,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,319,230,67976.08,11880,NA,632.59,Baby Boomers (45 ? 60s),Social,Awareness,-359.6,521.479,25,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,749,230,11180.56,1980,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,34,FallintoWinter,NA,NA,Qualified,631,1,14252.8,19800,NA,125443,Gen Y (80 ? 2000s),Social,Awareness,-47.77,44.302,34,00:00.0
Europe,Germany,NULL,50,LetsGoSurf,NA,NA,Qualified,1111,174,13525.2,15840,NA,231608,Baby Boomers (45 ? 60s),TV,Awareness,408.68,118.847,50,00:00.0
North & Central America,USA,NULL,50,LetsGoSurf,NA,NA,Active,420,290,8566.13,5940,NA,-6201.13,Gen X (60 ? 80s),TV,Inquiries,-541.42,240.728,50,00:00.0
Europe,Germany,NULL,25,EnjoyTheMoment,NA,NA,Qualified,503,230,11180.56,7920,NA,267410,Boomer; GenX; GenY; GenZ,Social,Awareness,1037.34,53.992,25,00:00.0
Europe,Germany,NULL,45,LetsRun,NA,NA,Qualified,534,290,32607.36,13860,NA,328916,Gen Z (2000s - now),Event,Awareness,477.19,17.782,45,00:00.0
North & Central America,USA,NULL,25,EnjoyTheMoment,NA,NA,Active,817,230,26845.04,5940,NA,327114,Gen X (60 ? 80s),Social,Consideration,2002.6,79.492,25,00:00.0
South America,Brazil,NULL,50,LetsGoSurf,NA,NA,Accepted,466,270,50355.56,15840,NA,1065.37,Boomer; GenX; GenY; GenZ,Event,Purchase,632.31,46.963,50,00:00.0
Europe,Germany,NULL,21,SustainableFashion ,NA,NA,Qualified,929,270,25307.87,19800,NA,-5470.95,Gen Z (2000s - now),Media Placements,Awareness,112.3,468.579,21,00:00.0
