DateOfManufacturing,Dept,fueltype,manufacturer,Recommended Service,VehicleID,Vehicle Type
"2001","Public Transport","Diesel","Ayats","7275","MBUS536","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS524","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS269","Mini Bus"
"2007","Public Transport","Diesel","Damas","14140","BUS050","Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS316","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13196","BUS288","Bus"
"2011","Public Transport","Diesel","Avanza","12965","BUS350","Bus"
"2011","Public Transport","Diesel","Damas","12834","BUS385","Bus"
"2013","Police","Petrol","Ford","5200","POL021","Police Car"
"2014","Public Transport","Electricity","Irizar","14250","EBUS195","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS273","Electric Bus"
"2019","Public Transport","Diesel","Damas","13860","BUS054","Bus"
"2021","Public Transport","Electricity","Irizar","15600","EBUS230","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS542","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS550","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS273","Mini Bus"
"2007","Public Transport","Diesel","Damas","13720","BUS058","Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS317","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13192","BUS289","Bus"
"2011","Public Transport","Diesel","Avanza","12954","BUS353","Bus"
"2011","Public Transport","Diesel","Damas","12823","BUS388","Bus"
"2013","Public Transport","Diesel","Alsa","14700","BUS007","Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS221","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS285","Electric Bus"
"2019","Public Transport","Diesel","Damas","13300","BUS071","Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS254","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS566","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS554","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS283","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS003","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS319","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13166","BUS296","Bus"
"2011","Public Transport","Diesel","Avanza","12942","BUS356","Bus"
"2011","Public Transport","Diesel","Damas","12812","BUS391","Bus"
"2013","Public Transport","Diesel","Alsa","14000","BUS027","Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS224","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS311","Electric Bus"
"2020","EMS","Diesel","Lafuncar","10300","AMB010","Ambulance"
"2021","Public Transport","Electricity","Irizar","15300","EBUS267","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS572","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS580","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS299","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS043","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS324","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13163","BUS297","Bus"
"2011","Public Transport","Diesel","Avanza","12901","BUS367","Bus"
"2011","Public Transport","Diesel","Damas","12800","BUS394","Bus"
"2013","Public Transport","Diesel","Alsa","14280","BUS047","Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS235","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS313","Electric Bus"
"2020","EMS","Diesel","Lafuncar","10000","AMB035","Ambulance"
"2021","Public Transport","Electricity","Irizar","15600","EBUS270","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS596","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS584","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS303","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS083","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS333","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13155","BUS299","Bus"
"2011","Public Transport","Diesel","Avanza","12890","BUS370","Bus"
"2011","Public Transport","Diesel","Damas","12789","BUS397","Bus"
"2013","Public Transport","Diesel","Alsa","14000","BUS082","Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS261","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS325","Electric Bus"
"2020","EMS","Diesel","Lafuncar","10000","AMB040","Ambulance"
"2021","Public Transport","Electricity","Irizar","15000","EBUS294","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS602","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS610","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS313","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS123","Electric Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS337","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13129","BUS306","Bus"
"2011","Public Transport","Diesel","Avanza","12879","BUS373","Bus"
"2011","Public Transport","Diesel","Damas","12782","BUS399","Bus"
"2013","Public Transport","Diesel","Avanza","14000","BUS075","Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS264","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS351","Electric Bus"
"2020","EMS","Petrol","BMW","8000","SUV019","SUV"
"2021","Public Transport","Electricity","Irizar","15300","EBUS307","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS626","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS614","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS329","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS163","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS354","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13125","BUS307","Bus"
"2011","Public Transport","Diesel","Avanza","12871","BUS375","Bus"
"2011","Public Transport","Diesel","Damas","12756","BUS406","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS023","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS275","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS353","Electric Bus"
"2020","EMS","Petrol","SEAT","8240","SUV026","SUV"
"2021","Public Transport","Electricity","Irizar","15600","EBUS310","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS632","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS640","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS333","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS203","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14250","EBUS356","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13107","BUS312","Bus"
"2011","Public Transport","Diesel","Avanza","12860","BUS378","Bus"
"2011","Public Transport","Diesel","Damas","12722","BUS415","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS053","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS301","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS365","Electric Bus"
"2020","EMS","Petrol","SEAT","7760","SUV029","SUV"
"2021","Public Transport","Electricity","Irizar","15000","EBUS334","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS656","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS644","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS343","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS243","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS357","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13095","BUS315","Bus"
"2011","Public Transport","Diesel","Avanza","12849","BUS381","Bus"
"2011","Public Transport","Diesel","Damas","12718","BUS416","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS083","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS304","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15150","EBUS391","Electric Bus"
"2020","Fire","Diesel","Rosenbauer","12480","FRT009","Fire Truck"
"2021","Public Transport","Electricity","Irizar","15300","EBUS347","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS662","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS670","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7650","MBUS359","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS283","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS359","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13092","BUS316","Bus"
"2011","Public Transport","Diesel","Avanza","12808","BUS392","Bus"
"2011","Public Transport","Diesel","Damas","12715","BUS417","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS113","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS315","Electric Bus"
"2017","Public Transport","Electricity","Irizar","14550","EBUS393","Electric Bus"
"2020","Police","Petrol","Citroen","4900","POL003","Police Car"
"2021","Public Transport","Electricity","Irizar","15600","EBUS350","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS686","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS674","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7500","MBUS363","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS323","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14700","EBUS364","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13088","BUS317","Bus"
"2011","Public Transport","Diesel","Avanza","12797","BUS395","Bus"
"2011","Public Transport","Diesel","Damas","12711","BUS418","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS143","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS341","Electric Bus"
"2017","Public Transport","Electricity","Irizar","15450","EBUS405","Electric Bus"
"2020","Police","Petrol","Citroen","4950","POL019","Police Car"
"2021","Public Transport","Electricity","Irizar","15000","EBUS374","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS692","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS700","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS373","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS363","Electric Bus"
"2009","Public Transport","Electricity","Irizar","14850","EBUS373","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13080","BUS319","Bus"
"2011","Public Transport","Diesel","Avanza","12786","BUS398","Bus"
"2011","Public Transport","Diesel","Damas","12707","BUS419","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS173","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS344","Electric Bus"
"2018","EMS","Diesel","Daimler","10300","AMB014","Ambulance"
"2020","Police","Petrol","Ford","5000","POL004","Police Car"
"2021","Public Transport","Electricity","Irizar","15300","EBUS387","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7275","MBUS716","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS704","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS385","Mini Bus"
"2007","Public Transport","Electricity","Irizar","15300","EBUS403","Electric Bus"
"2009","Public Transport","Electricity","Irizar","15600","EBUS377","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13065","BUS323","Bus"
"2011","Public Transport","Diesel","Avanza","12778","BUS400","Bus"
"2011","Public Transport","Diesel","Damas","12703","BUS420","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS203","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS355","Electric Bus"
"2018","EMS","Petrol","SEAT","7920","SUV014","SUV"
"2020","Police","Petrol","Ford","4850","POL040","Police Car"
"2021","Public Transport","Electricity","Irizar","15600","EBUS390","Electric Bus"
"2001","Public Transport","Diesel","Ayats","7425","MBUS722","Mini Bus"
"2003","Public Transport","Diesel","Ayats","7725","MBUS730","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS403","Mini Bus"
"2008","EMS","Diesel","Lafuncar","9700","AMB013","Ambulance"
"2009","Public Transport","Electricity","Irizar","14250","EBUS394","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13062","BUS324","Bus"
"2011","Public Transport","Diesel","Avanza","12774","BUS401","Bus"
"2011","Public Transport","Diesel","Damas","12685","BUS425","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS233","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS381","Electric Bus"
"2018","Fire","Diesel","MORITA","12120","FRT017","Fire Truck"
"2020","Public Transport","Diesel","Alsa","14420","BUS028","Bus"
"2021","Public Transport","Electricity","Irizar","15000","EBUS414","Electric Bus"
"2001","Public Transport","Diesel","Damas","14560","BUS043","Bus"
"2003","Public Transport","Diesel","Ayats","7200","MBUS734","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS415","Mini Bus"
"2008","EMS","Diesel","Lafuncar","9500","AMB016","Ambulance"
"2009","Public Transport","Electricity","Irizar","14250","EBUS396","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13054","BUS326","Bus"
"2011","Public Transport","Diesel","Avanza","12752","BUS407","Bus"
"2011","Public Transport","Diesel","Damas","12681","BUS426","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS263","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS384","Electric Bus"
"2018","Fire","Diesel","Rosenbauer","11400","FRT003","Fire Truck"
"2020","Public Transport","Diesel","Alsa","14560","BUS039","Bus"
"2021","Public Transport","Electricity","Irizar","15300","EBUS427","Electric Bus"
"2001","Public Transport","Diesel","Damas","13440","BUS078","Bus"
"2003","Public Transport","Diesel","Damas","14700","BUS019","Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS433","Mini Bus"
"2008","EMS","Diesel","Mercedez-Benz","10400","AMB006","Ambulance"
"2009","Public Transport","Electricity","Irizar","14700","EBUS397","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13032","BUS332","Bus"
"2011","Public Transport","Diesel","Avanza","12741","BUS410","Bus"
"2011","Public Transport","Diesel","Damas","12677","BUS427","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS293","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14250","EBUS395","Electric Bus"
"2018","Public Transport","Diesel","Avanza","14420","BUS061","Bus"
"2020","Public Transport","Diesel","Alsa","13440","BUS076","Bus"
"2001","Public Transport","Diesel","Damas","13300","BUS099","Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS014","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS445","Mini Bus"
"2008","EMS","Petrol","BMW","7680","SUV005","SUV"
"2009","Public Transport","Electricity","Irizar","14850","EBUS399","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13021","BUS335","Bus"
"2011","Public Transport","Diesel","Avanza","12737","BUS411","Bus"
"2011","Public Transport","Diesel","Damas","12670","BUS429","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS323","Mini Bus"
"2014","Public Transport","Electricity","Irizar","15300","EBUS421","Electric Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS012","Mini Bus"
"2020","Public Transport","Diesel","Alsa","14000","BUS092","Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS002","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS020","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS463","Mini Bus"
"2008","EMS","Petrol","SEAT","7920","SUV003","SUV"
"2009","Public Transport","Electricity","Irizar","14700","EBUS404","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13017","BUS336","Bus"
"2011","Public Transport","Diesel","Avanza","12692","BUS423","Bus"
"2011","Public Transport","Diesel","Damas","12666","BUS430","Bus"
"2013","Public Transport","Diesel","Ayats","7200","MBUS353","Mini Bus"
"2014","Public Transport","Electricity","Irizar","14700","EBUS424","Electric Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS016","Mini Bus"
"2020","Public Transport","Diesel","Avanza","13300","BUS003","Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS032","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS044","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS475","Mini Bus"
"2008","EMS","Petrol","SEAT","7760","SUV012","SUV"
"2009","Public Transport","Electricity","Irizar","14850","EBUS413","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13006","BUS339","Bus"
"2011","Public Transport","Diesel","Avanza","12674","BUS428","Bus"
"2011","Public Transport","Diesel","Damas","12655","BUS433","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS383","Mini Bus"
"2015","EMS","Diesel","Daimler","10100","AMB007","Ambulance"
"2018","Public Transport","Diesel","Ayats","7650","MBUS042","Mini Bus"
"2020","Public Transport","Diesel","Avanza","14420","BUS006","Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS062","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS050","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS493","Mini Bus"
"2008","EMS","Petrol","SEAT","8240","SUV016","SUV"
"2009","Public Transport","Electricity","Irizar","15600","EBUS417","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12998","BUS341","Bus"
"2011","Public Transport","Diesel","Avanza","12647","BUS435","Bus"
"2011","Public Transport","Diesel","Damas","12651","BUS434","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS413","Mini Bus"
"2015","EMS","Diesel","Lafuncar","9700","AMB056","Ambulance"
"2018","Public Transport","Diesel","Ayats","7800","MBUS046","Mini Bus"
"2020","Public Transport","Diesel","Avanza","13720","BUS036","Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS092","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS074","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS505","Mini Bus"
"2008","Fire","Diesel","MORITA","11760","FRT005","Fire Truck"
"2010","EMS","Petrol","SEAT","8400","SUV009","SUV"
"2011","Public Transport","Diesel","Alsa","12995","BUS342","Bus"
"2011","Public Transport","Diesel","Avanza","12644","BUS436","Bus"
"2011","Public Transport","Diesel","Damas","12636","BUS438","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS443","Mini Bus"
"2015","EMS","Diesel","Mercedez-Benz","10500","AMB015","Ambulance"
"2018","Public Transport","Diesel","Ayats","7650","MBUS072","Mini Bus"
"2020","Public Transport","Diesel","Avanza","14000","BUS097","Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS122","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS080","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS523","Mini Bus"
"2008","Fire","Diesel","MORITA","12000","FRT018","Fire Truck"
"2010","EMS","Petrol","SEAT","7840","SUV027","SUV"
"2011","Public Transport","Diesel","Alsa","12983","BUS345","Bus"
"2011","Public Transport","Diesel","Avanza","12603","BUS447","Bus"
"2011","Public Transport","Diesel","Damas","12633","BUS439","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS473","Mini Bus"
"2015","EMS","Diesel","Mercedez-Benz","9900","AMB043","Ambulance"
"2018","Public Transport","Diesel","Ayats","7800","MBUS076","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS007","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS152","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS104","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS535","Mini Bus"
"2008","Police","Petrol","Ford","5200","POL037","Police Car"
"2010","Police","Petrol","Citroen","5050","POL020","Police Car"
"2011","Public Transport","Diesel","Alsa","12957","BUS352","Bus"
"2011","Public Transport","Diesel","Avanza","12591","BUS450","Bus"
"2011","Public Transport","Diesel","Damas","12618","BUS443","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS503","Mini Bus"
"2015","EMS","Petrol","SEAT","7840","SUV015","SUV"
"2018","Public Transport","Diesel","Ayats","7650","MBUS102","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS008","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS182","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS110","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS553","Mini Bus"
"2008","Public Transport","Diesel","Avanza","13720","BUS088","Bus"
"2010","Police","Petrol","Ford","5100","POL014","Police Car"
"2011","Public Transport","Diesel","Alsa","12946","BUS355","Bus"
"2011","Public Transport","Diesel","Avanza","12573","BUS455","Bus"
"2011","Public Transport","Diesel","Damas","12610","BUS445","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS533","Mini Bus"
"2015","EMS","Petrol","SEAT","8400","SUV022","SUV"
"2018","Public Transport","Diesel","Ayats","7800","MBUS106","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS019","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS212","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS134","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS565","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS015","Mini Bus"
"2010","Police","Petrol","Ford","5100","POL024","Police Car"
"2011","Public Transport","Diesel","Alsa","12939","BUS357","Bus"
"2011","Public Transport","Diesel","Avanza","12569","BUS456","Bus"
"2011","Public Transport","Diesel","Damas","12606","BUS446","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS563","Mini Bus"
"2015","Police","Petrol","Citroen","5100","POL005","Police Car"
"2018","Public Transport","Diesel","Ayats","7650","MBUS132","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS037","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS242","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS140","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS583","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS017","Mini Bus"
"2010","Police","Petrol","Ford","5100","POL034","Police Car"
"2011","Public Transport","Diesel","Alsa","12935","BUS358","Bus"
"2011","Public Transport","Diesel","Avanza","12543","BUS463","Bus"
"2011","Public Transport","Diesel","Damas","12584","BUS452","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS593","Mini Bus"
"2015","Police","Petrol","Ford","4950","POL028","Police Car"
"2018","Public Transport","Diesel","Ayats","7800","MBUS136","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS038","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS272","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS164","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS595","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS045","Mini Bus"
"2010","Public Transport","Diesel","Alsa","14280","BUS005","Bus"
"2011","Public Transport","Diesel","Alsa","12924","BUS361","Bus"
"2011","Public Transport","Diesel","Avanza","12509","BUS472","Bus"
"2011","Public Transport","Diesel","Damas","12580","BUS453","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS623","Mini Bus"
"2015","Public Transport","Diesel","Alsa","13440","BUS012","Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS162","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS049","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS302","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS170","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS613","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS047","Mini Bus"
"2010","Public Transport","Diesel","Avanza","14000","BUS026","Bus"
"2011","Public Transport","Diesel","Alsa","12920","BUS362","Bus"
"2011","Public Transport","Diesel","Avanza","12498","BUS475","Bus"
"2011","Public Transport","Diesel","Damas","12577","BUS454","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS653","Mini Bus"
"2015","Public Transport","Diesel","Alsa","14700","BUS021","Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS166","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS067","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS332","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS194","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS625","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS075","Mini Bus"
"2010","Public Transport","Diesel","Avanza","13720","BUS032","Bus"
"2011","Public Transport","Diesel","Alsa","12912","BUS364","Bus"
"2011","Public Transport","Diesel","Avanza","12487","BUS478","Bus"
"2011","Public Transport","Diesel","Damas","12562","BUS458","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS683","Mini Bus"
"2015","Public Transport","Diesel","Alsa","13580","BUS085","Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS192","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS068","Mini Bus"
"2001","Public Transport","Diesel","Indcar","7425","MBUS362","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS200","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS643","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS077","Mini Bus"
"2010","Public Transport","Diesel","Avanza","14700","BUS060","Bus"
"2011","Public Transport","Diesel","Alsa","12909","BUS365","Bus"
"2011","Public Transport","Diesel","Avanza","12476","BUS481","Bus"
"2011","Public Transport","Diesel","Damas","12558","BUS459","Bus"
"2013","Public Transport","Diesel","Indcar","7200","MBUS713","Mini Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS001","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS196","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS079","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS029","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS224","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS655","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS105","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS015","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12898","BUS368","Bus"
"2011","Public Transport","Diesel","Avanza","12435","BUS492","Bus"
"2011","Public Transport","Diesel","Damas","12547","BUS462","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS010","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS031","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS222","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS097","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS069","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS230","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS673","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS107","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS038","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12886","BUS371","Bus"
"2011","Public Transport","Diesel","Avanza","12424","BUS495","Bus"
"2011","Public Transport","Diesel","Damas","12535","BUS465","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS016","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS061","Mini Bus"
