CityID,Month,KPIName,Values,Goal
"C1","2021-01-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-03-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2021-09-01","#Articles Published (Positive)","32",
"C1","2021-02-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-04-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2021-10-01","#Articles Published (Positive)","32",
"C1","2021-03-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-05-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2021-11-01","#Articles Published (Positive)","32",
"C1","2021-04-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-06-01","Avg Route Adherance by Drivers","0.7","0.9"
"B1","2021-12-01","#Articles Published (Positive)","32",
"C1","2021-05-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-07-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2020-01-01","#Articles Published (Positive)","12",
"C1","2021-06-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-08-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2020-02-01","#Articles Published (Positive)","12",
"C1","2021-07-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-09-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2020-03-01","#Articles Published (Positive)","12",
"C1","2021-08-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-10-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2020-04-01","#Articles Published (Positive)","12",
"C1","2021-09-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-11-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2020-05-01","#Articles Published (Positive)","12",
"C1","2021-10-01","% Service Compliance This Month","0.91","0.9"
"C1","2020-12-01","Avg Route Adherance by Drivers","0.7","0.9"
"C1","2020-06-01","#Articles Published (Positive)","12",
"C1","2021-11-01","% Service Compliance This Month","0.91","0.9"
"C1","2021-01-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2020-07-01","#Articles Published (Positive)","12",
"C1","2021-12-01","% Service Compliance This Month","0.91","0.9"
"C1","2021-02-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2020-08-01","#Articles Published (Positive)","12",
"B1","2020-01-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-03-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2020-09-01","#Articles Published (Positive)","12",
"B1","2020-02-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-04-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2020-10-01","#Articles Published (Positive)","12",
"B1","2020-03-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-05-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2020-11-01","#Articles Published (Positive)","12",
"B1","2020-04-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-06-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2020-12-01","#Articles Published (Positive)","12",
"B1","2020-05-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-07-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2021-01-01","#Articles Published (Positive)","32",
"B1","2020-06-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-08-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2021-02-01","#Articles Published (Positive)","32",
"B1","2020-07-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-09-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2021-03-01","#Articles Published (Positive)","32",
"B1","2020-08-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-10-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2021-04-01","#Articles Published (Positive)","32",
"B1","2020-09-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-11-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2021-05-01","#Articles Published (Positive)","32",
"B1","2020-10-01","% Service Compliance This Year","0.934","0.95"
"C1","2021-12-01","Avg Route Adherance by Drivers","0.915","0.9"
"C1","2021-06-01","#Articles Published (Positive)","32",
"B1","2020-11-01","% Service Compliance This Year","0.934","0.95"
"B1","2020-01-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-07-01","#Articles Published (Positive)","32",
"B1","2020-12-01","% Service Compliance This Year","0.934","0.95"
"B1","2020-02-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-08-01","#Articles Published (Positive)","32",
"B1","2021-01-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-03-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-09-01","#Articles Published (Positive)","32",
"B1","2021-02-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-04-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-10-01","#Articles Published (Positive)","32",
"B1","2021-03-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-05-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-11-01","#Articles Published (Positive)","32",
"B1","2021-04-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-06-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-12-01","#Articles Published (Positive)","32",
"B1","2021-05-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-07-01","Sentiment on Reliability","0.49","0.55"
"B1","2020-01-01","#Articles Published (Negative)","23",
"B1","2021-06-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-08-01","Sentiment on Reliability","0.49","0.55"
"B1","2020-02-01","#Articles Published (Negative)","23",
"B1","2021-07-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-09-01","Sentiment on Reliability","0.49","0.55"
"B1","2020-03-01","#Articles Published (Negative)","23",
"B1","2021-08-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-10-01","Sentiment on Reliability","0.49","0.55"
"B1","2020-04-01","#Articles Published (Negative)","23",
"B1","2021-09-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-11-01","Sentiment on Reliability","0.49","0.55"
"B1","2020-05-01","#Articles Published (Negative)","23",
"B1","2021-10-01","% Service Compliance This Year","0.976","0.95"
"B1","2020-12-01","Sentiment on Reliability","0.49","0.55"
"B1","2020-06-01","#Articles Published (Negative)","23",
"B1","2021-11-01","% Service Compliance This Year","0.976","0.95"
"B1","2021-01-01","Sentiment on Reliability","0.558","0.55"
"B1","2020-07-01","#Articles Published (Negative)","23",
"B1","2021-12-01","% Service Compliance This Year","0.976","0.95"
"B1","2021-02-01","Sentiment on Reliability","0.558","0.55"
"B1","2020-08-01","#Articles Published (Negative)","23",
"C1","2020-01-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-03-01","Sentiment on Reliability","0.558","0.55"
"B1","2020-09-01","#Articles Published (Negative)","23",
"C1","2020-02-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-04-01","Sentiment on Reliability","0.558","0.55"
"B1","2020-10-01","#Articles Published (Negative)","23",
"C1","2020-03-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-05-01","Sentiment on Reliability","0.558","0.55"
"B1","2020-11-01","#Articles Published (Negative)","23",
"C1","2020-04-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-06-01","Sentiment on Reliability","0.558","0.55"
"B1","2020-12-01","#Articles Published (Negative)","23",
"C1","2020-05-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-07-01","Sentiment on Reliability","0.558","0.55"
"B1","2021-01-01","#Articles Published (Negative)","9",
"C1","2020-06-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-08-01","Sentiment on Reliability","0.558","0.55"
"B1","2021-02-01","#Articles Published (Negative)","9",
"C1","2020-07-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-09-01","Sentiment on Reliability","0.558","0.55"
"B1","2021-03-01","#Articles Published (Negative)","9",
"C1","2020-08-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-10-01","Sentiment on Reliability","0.558","0.55"
"B1","2021-04-01","#Articles Published (Negative)","9",
"C1","2020-09-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-11-01","Sentiment on Reliability","0.558","0.55"
"B1","2021-05-01","#Articles Published (Negative)","9",
"C1","2020-10-01","% Service Compliance This Year","0.934","0.95"
"B1","2021-12-01","Sentiment on Reliability","0.558","0.55"
"B1","2021-06-01","#Articles Published (Negative)","9",
"C1","2020-11-01","% Service Compliance This Year","0.934","0.95"
"C1","2020-01-01","Sentiment on Reliability","0.49","0.55"
"C1","2020-12-01","% Service Compliance This Year","0.934","0.95"
"C1","2020-02-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-01-01","% Service Compliance This Year","0.976","0.95"
"C1","2020-03-01","Sentiment on Reliability","0.49","0.55"
"C1","2021-02-01","% Service Compliance This Year","0.976","0.95"
"C1","2020-04-01","Sentiment on Reliability","0.49","0.55"
"C1","2020-05-01","Sentiment on Reliability","0.49","0.55"
"C1","2020-06-01","Sentiment on Reliability","0.49","0.55"
"C1","2020-07-01","Sentiment on Reliability","0.49","0.55"
"C1","2020-08-01","Sentiment on Reliability","0.49","0.55"
