accountid,accountcategorycode,accountclassificationcode,accountratingcode,address1_addressid,address1_addresstypecode,address1_city,address1_country,address1_composite,address1_fax,address1_line1,address1_primarycontactname,address1_shippingmethodcode,address1_utcoffset,address2_line1,adx_modifiedbyipaddress,adx_modifiedbyusername
"","USA\"",USA,"",47.75936,18404 120th Avenue NE,"",-122.17497,"",98011,"",a6c9bb2c-4bc7-4b13-b93d-3b4f5426a4c8,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
ed6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,2059dd43-3518-483a-813a-9503823d22d3,"",Bothell,"",18931 Bothell Way NE,"","","","","","","",""
"",Bothell,WA 98011,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.7652,18931 Bothell Way NE,"",-122.20919,"",98011,"",cf512df0-2c78-468c-b593-04852ec20a48,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
ef6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,e3815fec-ec62-4a92-8d5f-a5181afcfea6,"",Redmond,"",2020 - 148th Ave NE,"","","","","","","",""
"",Redmond,WA 98052,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.62807,2020 - 148th Ave NE,"",-122.14306,"",98052,"",8fd095b6-96a6-4c3c-bd27-a890df58f788,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
f16b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,0d0ac65c-73c9-43f4-94ca-9294177acafd,"",Bothell,"",2020 Maltby Road,"","","","","","","",""
"",Bothell,WA 98021,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.80932,2020 Maltby Road,"",-122.20669,"",98021,"",c0811245-1561-48f3-b77c-0542214810ed,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
f36b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,42829ab2-9bf0-491d-8167-400d6be1a6b5,"",Seattle,"",2100 Queen Anne Ave N,"","","","","","","",""
"",Seattle,WA 98109,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.6372,2100 Queen Anne Ave N,"",-122.3569,"",98109,"",0268183d-e4af-4424-aeb1-3994e52ec3d8,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
f56b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,cbc387d6-e559-4d52-a0f1-dea75162f8d0,"",Bothell,"",22833 Bothell Way SE,"","","","","","","",""
"",Bothell,WA 98021,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.79087,22833 Bothell Way SE,"",-122.21684,"",98021,"",7b3cd77d-9a24-4227-b5f6-e217f03222df,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
f76b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,7e8a1165-e0ea-4cd0-ad27-a608d128278c,"",Seattle,"",2500 SW Barton,"","","","","","","",""
"",Seattle,WA 98126,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.5211,2500 SW Barton,"",-122.3652,"",98126,"",646f5c7c-2609-4bf9-8d8c-252fce84f1e8,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
f96b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,5b915f32-52ac-4847-9177-48590304ba76,"",Seattle,"",2580 S 156th St,"","","","","","","",""
"",Seattle,WA 98158,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.44243,2580 S 156th St,"",-122.19697,"",98158,"",2a0630d6-ccd7-445a-9ca5-b00f5ceca87c,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
fb6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,9e5d2db4-6b99-46d4-8728-ec30e7652cf1,"",Seattle,"",2622 California Ave SW,"","","","","","","",""
"",Seattle,WA 98116,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.58073,2622 California Ave SW,"",-122.38639,"",98116,"",3087c8f8-a96a-4d12-8628-e34561f8d008,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
fd6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,595ad66e-57cb-4c8c-9364-0a57e7a5b68c,"",Seattle,"",2707 Rainier Avenue South,"","","","","","","",""
"",Seattle,WA 98144,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.5792,2707 Rainier Avenue South,"",-122.29881,"",98144,"",9cf6e228-4ec5-430d-b785-3e70fed3a500,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
ff6b3f4b-1be7-e611-8101-e0071b6af231,"",1,1,31177e17-63a7-4475-88f7-bc5aa1c1e22b,"",Sammamish,"",3016 Issaquah-Pine Lake Road  SE,"","","","","","","",""
"",Sammamish,WA 98075,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.47976,3016 Issaquah-Pine Lake Road  SE,"",-122.21458,"",98075,"",96cebbfa-3ad5-4e4f-8b33-6bb0aa2354dc,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
016c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,3db2f458-3e0f-41a1-bfcf-6ae428e458d2,"",Seattle,"",305 Harrison Street,"","","","","","","",""
"",Seattle,WA 98109,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.762,305 Harrison Street,"",-122.2074,"",98109,"",b7b7a367-9e0c-4b75-ba6b-4e0b8fce5466,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
036c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,2e19f421-308b-4151-8bb9-56be4257d450,"",Seattle,"",3205 Harrison St,"","","","","","","",""
"",Seattle,WA 98109,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.622,3205 Harrison St,"",-122.34582,"",98109,"",4c8c09a8-7112-4455-906d-d634a6936395,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
056c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,3826f135-2a3a-434d-830d-f299546af412,"",Sammamish,"",340 228 Ave. NE,"","","","","","","",""
"",Sammamish,WA 98074,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61237,340 228 Ave. NE,"",-122.03549,"",98074,"",90e985cd-7b5f-43f4-9321-53bf60e3face,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
096c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,d760abbd-73f0-4f03-a0f1-72e16a498084,"",Bellevue,"",3720 SE 128th Street,"","","","","","","",""
"",Bellevue,WA 98006,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.57752,3720 SE 128th Street,"",-122.17026,"",98006,"",4025c40c-ffa8-473e-abc1-67287d0c0954,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
0b6c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,72c7f10f-eb0f-48bd-8851-d4680231d9d5,"",Seattle,"",400 Pine Street,"","","","","","","",""
"",Seattle,WA 98101,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61123,400 Pine Street,"",-122.33742,"",98101,"",a409015c-3d8d-4e61-9f74-8afa8ea1a579,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
0d6c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,0f962d0b-f6ee-4dbe-a6e0-d3a0c7607022,"",Seattle,"",4011 S 164th,"","","","","","","",""
"",Seattle,WA 98188,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.45629,4011 S 164th,"",-122.2832,"",98188,"",033be8e2-69b4-40a5-86d5-aed720a95afa,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
0f6c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,f3d72579-2848-41c6-ad61-02a4c8aaf8cd,"",Seattle,"",417 Broadway E,"","","","","","","",""
"",Seattle,WA 98102,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.62215,417 Broadway E,"",-122.32086,"",98102,"",7ed0ac7d-b04b-4847-95c6-85463a760759,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
116c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,94f022db-e4b6-4101-9d43-78d6a0b628d1,"",Renton,"",4300 NE 4th,"","","","","","","",""
"",Renton,WA 98056,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.48883,4300 NE 4th,"",-122.16368,"",98056,"",1faa57cb-8aaf-4e39-ae91-21f2993e8f02,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
136c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,30e0aa42-6d71-42a8-891b-27ae0900faca,"",Renton,"",439 Rainier Avenue South,"","","","","","","",""
"",Renton,WA 98055,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.47748,439 Rainier Avenue South,"",-122.21587,"",98055,"",427aad78-7077-4468-8a82-d7dfbf2acc2e,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
156c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,f33ae279-19c7-4447-aae0-9e8ba512e644,"",Seattle,"",4754 42nd Ave SW,"","","","","","","",""
"",Seattle,WA 98116,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.56013,4754 42nd Ave SW,"",-122.3853,"",98116,"",34242be0-2fd4-410c-9282-3729ab0fc4e1,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
176c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,8ad9cf27-5d5f-407d-9716-d7d5e409cc34,"",Bellevue,"",4851 Lakemont Blvd SE,"","","","","","","",""
"",Bellevue,WA 98006,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.53556,4851 Lakemont Blvd SE,"",-122.12893,"",98006,"",97a52368-e988-47df-9dc4-06e052f77361,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
196c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,5b95f7b4-28a2-42a9-98b5-d6ca4f38c031,"",Seattle,"",516 1st Ave W,"","","","","","","",""
"",Seattle,WA 98109,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.6236,516 1st Ave W,"",-122.35529,"",98109,"",08072914-e7de-4375-aed2-f42615c40da2,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
1b6c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,f53db06f-b6fc-445c-ab76-6da8250b1ec7,"",Bellevue,"",601 108th Ave NE,"","","","","","","",""
"",Bellevue,WA 98004,"","","","","","","","","","","","","",""
"","United States\"",United States,"",47.61584,601 108th Ave NE,"",-122.19686,"",98004,"",2d3eb9e5-7a68-4f7a-b576-fc37fd4a62fe,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
1d6c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,4af78fd1-3e2d-47f3-9192-00f182346982,"",Seattle,"",601 Union Street,"","","","","","","",""
"",Seattle,WA 98101,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.66971,601 Union Street,"",-122.1215,"",98101,"",055692b7-25bd-4fcb-af31-35cb7565cfbb,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
1f6c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,19f999a1-119f-49ff-83f5-67279b1c6ede,"",Sammamish,"",604 228th Ave NE,"","","","","","","",""
"",Sammamish,WA 98074,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.44815,604 228th Ave NE,"",-122.15384,"",98074,"",bc866bb1-3fe3-44e6-981a-adab2f863be8,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
216c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,7eb0f6d5-3696-4638-9bfb-9421220bc451,"",Bellevue,"",626 NE 106TH,"","","","","","","",""
"",Bellevue,WA 98004,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61574,626 NE 106TH,"",-122.19871,"",98004,"",82523708-b409-42d5-949b-8e36f3943131,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
236c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,d3f8d596-97df-4926-b77c-aa5b4dae2600,"",Bellevue,"",661 120th Ave NE,"","","","","","","",""
"",Bellevue,WA 98005,"","","","","","","","","","","","","",""
"","United States\"",United States,"",47.61582,661 120th Ave NE,"",-122.18071,"",98005,"",7370c549-0066-42e9-9a7f-e2707ffe1fba,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
276c3f4b-1be7-e611-8101-e0071b6af231,"",1,1,98a338cd-581b-448e-a226-92a1acfa3207,"",Seattle,"",800 Convention Place,"","","","","","","",""
"",Seattle,WA 98101,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61082,800 Convention Place,"",-122.33184,"",98101,"",9da3554c-03c2-4249-807a-49b28e91fde4,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
2b6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,8e924fb1-a115-46a6-832a-33b656298478,"",Novi,"",27500 Novi Road,"","","","","","","",""
"",Novi,MI 48377,"","","","","","","","","","","","","",""
"","USA\"",USA,"",42.49485,27500 Novi Road,"",-83.46909,"",48377,"",16472ff8-a349-4cf3-9032-f44f61bfeb4c,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
316c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,1366e643-99d3-450a-a4c2-5fb473d16a61,"",San Francisco,"",1355 Market St Ste 300,"","","","","","","",""
"",San Francisco,CA 94103,"","","","","","","","","","","","","",""
"","USA\"",USA,"",37.77682,1355 Market St Ste 300,"",-122.41679,"",94103,"",668654f7-0c01-4138-826f-ba2c030db397,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
376c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,a8110deb-918a-4ebb-b21b-cea062d1b3b7,"",Portland,"",300 SW Yamhill St.,"","","","","","","",""
"",Portland,OR 97204,"","","","","","","","","","","","","",""
"","USA\"",USA,"",45.51745,300 SW Yamhill St.,"",-122.67655,"",97204,"",54d5c82e-a959-43e6-b01b-ab1b7fdd1bf3,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
396c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,6bbe562e-5061-4139-8ea9-f67957418e4b,"",Bethesda,"",5404 Wisconsin Ave Ste 500,"","","","","","","",""
"",Bethesda,MD 20815,"","","","","","","","","","","","","",""
"","USA\"",USA,"",38.96142,5404 Wisconsin Ave Ste 500,"",-77.08671,"",20815,"",37ab144f-9483-497b-8f5c-529f0b40645e,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
3b6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,15dd1839-6154-4b95-92c4-da7bf57f45f9,"",Downers Grove,"",3025 Highland Pkwy,"","","","","","","",""
"",Downers Grove,IL 60515,"","","","","","","","","","","","","",""
"","USA\"",USA,"",41.83416,3025 Highland Pkwy,"",-88.00476,"",60515,"",d258dc83-a766-4a29-a8d0-4a89682c5656,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
3f6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,f4e9564c-2195-497c-8243-374052215970,"",Las Vegas,"",3200 S. Las Vegas Blvd,"","","","","","","",""
"",Las Vegas,NV 89109,"","","","","","","","","","","","","",""
"","USA\"",USA,"",36.12728,3200 S. Las Vegas Blvd,"",-115.17074,"",89109,"",01f6b0bf-97ad-4f1e-af10-2baed24bb397,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
456c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,60c6a09a-562d-42e4-a45c-0db56d8770f9,"",Roseville,"",1151 Galleria Blvd,"","","","","","","",""
"",Roseville,CA 95678,"","","","","","","","","","","","","",""
"","USA\"",USA,"",38.77355,1151 Galleria Blvd,"",-121.2698,"",95678,"",958b0faf-c43c-468b-a4ca-4a2dc41fa80f,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
476c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,3e430cbb-cc3d-45ca-8a7d-179a2ddfc97c,"",Corte Madera,"",1640 Redwood Hwy,"","","","","","","",""
"",Corte Madera,CA 94925,"","","","","","","","","","","","","",""
"","USA\"",USA,"",37.92982,1640 Redwood Hwy,"",-122.5122,"",94925,"",982d4a8e-a558-4f78-9464-968769417832,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
496c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,921041a9-9420-4bd1-a59f-02ee93a34cbb,"",Atlanta,"",4400 Ashford Dunwoody Rd NE,"","","","","","","",""
"",Atlanta,GA 30346,"","","","","","","","","","","","","",""
"","USA\"",USA,"",33.92352,4400 Ashford Dunwoody Rd NE,"",-84.34055,"",30346,"",5b91cb51-3acf-48e2-b01b-009510a622d0,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
4d6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,35434a97-e53f-487d-bec2-81542ec68a14,"",Santa Clara,"",2855 Stevens Creek Blvd Ste 1135,"","","","","","","",""
"",Santa Clara,CA 95050,"","","","","","","","","","","","","",""
"","USA\"",USA,"",37.32565,2855 Stevens Creek Blvd Ste 1135,"",-121.94899,"",95050,"",0713fda4-1147-49dc-8dca-0fff936af720,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
4f6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,d86f8d52-8d10-4e69-8b4c-11b52862bd5d,"",Broomfield,"",1 W FlatIron Crossing Drive,"","","","","","","",""
"",Broomfield,CO 80021,"","","","","","","","","","","","","",""
"","USA\"",USA,"",39.93294,1 W FlatIron Crossing Drive,"",-105.13247,"",80021,"",bcc7e08e-6ab8-4625-8277-4648726db8ad,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
516c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,93923fea-2c64-4134-bf7e-1df5f6dac4b4,"",Alpharetta,"","1125 Sanctuary Pkwy., Suite 300","","","","","","","",""
"",Alpharetta,GA 30009,"","","","","","","","","","","","","",""
"","USA\"",USA,"",34.04793,"1125 Sanctuary Pkwy., Suite 300","",-84.31213,"",30009,"",da2fba47-884a-4861-bc9d-426d81c42d38,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
576c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,e3515c6b-4881-4526-bcc3-eb64bcb75f2a,"",Arlington,"",1100 S. Hayes Street,"","","","","","","",""
"",Arlington,VA 22202,"","","","","","","","","","","","","",""
"","USA\"",USA,"",38.86451,1100 S. Hayes Street,"",-77.06008,"",22202,"",fdfe5c13-6041-4203-b3e2-239f52af2269,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
5b6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,a82a6d72-06b8-4d20-ba24-a74e8323377f,"",Seattle,"",2624 NE University Village Street,"","","","","","","",""
"",Seattle,WA 98105,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.66254,2624 NE University Village Street,"",-122.2992,"",98105,"",c5b7be90-ed76-43ba-bf62-309008c5beeb,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
656c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,62e231c8-1d4a-427d-85d7-88ff1b912834,"",Friendswood,"",500 Baybrook Mall,"","","","","","","",""
"",Friendswood,TX 77546,"","","","","","","","","","","","","",""
"","USA\"",USA,"",29.53928,500 Baybrook Mall,"",-95.14798,"",77546,"",e78447c9-ed27-4870-827f-5220f4388d01,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
676c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,d0d2ae2c-eecd-49e9-b6d9-140c1b8503cf,"",Seattle,"",600 Pine Street Suite 352,"","","","","","","",""
"",Seattle,WA 98101,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.61289,600 Pine Street Suite 352,"",-122.33531,"",98101,"",8f52c1ad-b8c2-4231-b59b-09af2af30f34,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
696c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,55e8b979-4663-4db3-ad35-1d6f664bbabb,"",Lone Tree,"",8505 Park Meadows Center Dr,"","","","","","","",""
"",Lone Tree,CO 80124,"","","","","","","","","","","","","",""
"","USA\"",USA,"",39.55963,8505 Park Meadows Center Dr,"",-104.87288,"",80124,"",30c7b562-e8ff-48f8-9c60-7be231ac4740,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
6d6c3f4b-1be7-e611-8101-e0071b6af231,2,1,1,e8f5adcc-4078-4fbc-aba6-dd40bb22debb,"",Bellevue,"",3003 160th Ave SE,"","","","","","","",""
"",Bellevue,WA 98008,"","","","","","","","","","","","","",""
"","USA\"",USA,"",47.5834,3003 160th Ave SE,"",-122.12952,"",98008,"",aff60b21-0f46-4d6f-bcc6-f54baef2a6b6,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
