sku,group,attribute_set_code,product_type,categories,name,description,short_description,price,size,color,ProductId
new-Default-simple-Cronus International xl blue-L-AntiqueWhite,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl blue,Cronus International xl blue Description,Cronus International xl blue Short Description,11,L,AntiqueWhite,132
new-Default-simple-Fabrikam m pink-M-Maroon,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam m pink,Fabrikam m pink Description,Fabrikam m pink Short Description,10,M,Maroon,133
new-Default-simple-Cronus International m blue-S-DarkOliveGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m blue,Cronus International m blue Description,Cronus International m blue Short Description,17,S,DarkOliveGreen,134
new-Default-simple-Reskit xl blue-XXL-SkyBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit xl blue,Reskit xl blue Description,Reskit xl blue Short Description,17,XXL,SkyBlue,135
new-Default-simple-Cronus International xl gray-S-MediumVioletRed,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl gray,Cronus International xl gray Description,Cronus International xl gray Short Description,20,S,MediumVioletRed,136
new-Default-simple-Fabrikam xl pink-XS-Gold,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl pink,Fabrikam xl pink Description,Fabrikam xl pink Short Description,17,XS,Gold,137
new-Default-simple-Fabrikam x blaCronus International-L-Cornsilk,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x blaCronus International,Fabrikam x blaCronus International Description,Fabrikam x blaCronus International Short Description,17,L,Cornsilk,138
new-Default-simple-Proseware x gray-S-Coral,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x gray,Proseware x gray Description,Proseware x gray Short Description,18,S,Coral,139
new-Default-simple-Reskit m blue-S-RoyalBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit m blue,Reskit m blue Description,Reskit m blue Short Description,9,S,RoyalBlue,140
new-Default-simple-Fabrikam xl white-L-HotPink,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl white,Fabrikam xl white Description,Fabrikam xl white Short Description,20,L,HotPink,141
new-Default-simple-Fabrikam x gray-XS-Tan,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x gray,Fabrikam x gray Description,Fabrikam x gray Short Description,12,XS,Tan,142
new-Default-configurable-Cronus International m blaCronus International-S-Turquoise,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International m blaCronus International,Cronus International m blaCronus International Description,Cronus International m blaCronus International Short Description,4,S,Turquoise,143
new-Default-simple-Cronus International x gray-X-OldLace,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International x gray,Cronus International x gray Description,Cronus International x gray Short Description,13,X,OldLace,144
